State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
IN,2023,1,20.799999999999997,47.5,6.8,31.4,5.6,-83.0,7.5,7.1,22.90000000000001,2415.458937198068,Midwest
KS,2018,1,16.200000000000003,20.700000000000003,5.9,22.8,7.0,-79.0,9.400000000000006,27.8,28.5,2557.544757033248,Midwest
KS,2019,1,15.799999999999995,26.125,5.9,23.1,7.0,-81.0,7.5,30.8,28.0,2557.544757033248,Midwest
KS,2020,1,16.5,31.549999999999997,6.0,23.1,7.0,-83.0,10.400000000000006,32.7,27.799999999999997,2481.389578163772,Midwest
KS,2021,1,15.700000000000005,36.975,5.6,23.1,7.0,-82.5,8.299999999999997,25.6,26.90000000000001,2415.458937198068,Midwest
KS,2022,1,16.799999999999997,42.4,5.6,23.1,7.0,-82.0,7.900000000000006,29.0,26.90000000000001,2564.102564102564,Midwest
KS,2023,1,16.700000000000003,42.4,5.5,23.1,7.0,-82.0,9.0,29.0,25.799999999999997,2439.0243902439024,Midwest
KY,2018,1,19.299999999999997,16.200000000000003,5.5,34.6,15.6,-68.0,11.5,30.9,27.09999999999999,2398.0815347721823,South
KY,2019,1,19.0,24.09999999999999,5.7,34.6,15.6,-70.5,10.799999999999995,33.0,27.09999999999999,2398.0815347721823,South
KY,2020,1,21.09999999999999,32.0,5.7,34.6,15.6,-73.0,14.0,33.8,27.200000000000003,2375.296912114014,South
KY,2021,1,20.59999999999999,39.9,6.0,34.6,15.6,-73.5,12.099999999999994,31.45,26.5,2358.490566037736,South
KY,2022,1,20.700000000000003,47.8,6.0,34.6,15.6,-74.0,10.200000000000005,29.1,26.5,2538.0710659898477,South
KY,2023,1,21.0,47.8,6.2,31.4,15.6,-74.0,10.900000000000006,29.1,26.09999999999999,2518.8916876574303,South
LA,2018,1,22.0,13.5,7.8,37.3,5.4,-75.0,11.099999999999994,41.3,22.799999999999997,2500.0,South
LA,2019,1,21.40000000000001,20.700000000000003,7.8,37.3,5.4,-78.0,11.099999999999994,40.5,22.0,2500.0,South
LA,2020,1,23.09999999999999,27.90000000000001,7.4,37.3,5.4,-81.0,13.700000000000005,40.4,22.0,2487.5621890547263,South
LA,2021,1,24.200000000000003,35.099999999999994,7.4,37.3,5.4,-81.5,10.900000000000006,36.8,23.40000000000001,2444.987775061125,South
LA,2022,1,25.40000000000001,42.3,7.3,37.3,5.4,-82.0,7.599999999999994,36.8,19.700000000000003,2557.544757033248,South
LA,2023,1,24.90000000000001,42.3,7.3,40.7,5.4,-82.0,4.299999999999997,36.8,19.700000000000003,2421.3075060532688,South
MA,2018,0,16.599999999999994,19.09999999999999,4.0,16.4,0.0,-86.0,6.700000000000003,21.7,23.0,1579.778830963665,Northeast
MA,2019,0,15.299999999999995,25.64999999999999,3.8,14.4,0.0,-85.5,7.099999999999994,23.8,22.200000000000003,1579.778830963665,Northeast
MA,2020,0,22.0,32.19999999999999,3.6,14.4,0.0,-85.0,9.700000000000005,19.5,22.200000000000003,1547.9876160990714,Northeast
MA,2021,0,19.799999999999997,38.75,3.6,14.4,0.0,-86.5,7.400000000000006,19.5,23.799999999999997,1540.8320493066255,Northeast
MA,2022,0,21.200000000000003,45.3,3.3,14.4,0.0,-88.0,7.200000000000003,17.7,20.799999999999997,1706.4846416382252,Northeast
MA,2023,0,18.40000000000001,45.3,3.3,14.4,0.0,-88.0,6.900000000000006,17.7,20.799999999999997,1675.041876046901,Northeast
MD,2018,0,27.40000000000001,20.700000000000003,5.9,21.3,0.4,-79.0,7.700000000000003,31.2,22.700000000000003,1754.3859649122808,South
MD,2019,0,25.700000000000003,27.625,5.8,21.4,0.4,-81.0,7.700000000000003,31.2,22.700000000000003,1754.3859649122808,South
MD,2020,0,28.59999999999999,34.55,5.8,21.4,0.4,-83.0,9.700000000000005,27.9,24.700000000000003,1712.3287671232877,South
MD,2021,0,26.59999999999999,41.475,5.9,21.4,0.4,-82.5,8.833333333333314,27.9,26.5,1675.041876046901,South
MD,2022,0,27.0,48.4,5.8,21.4,0.4,-82.0,7.966666666666683,27.9,23.299999999999997,1785.7142857142858,South
MD,2023,0,25.5,48.4,5.8,21.4,0.4,-82.0,7.099999999999994,27.9,23.299999999999997,1757.469244288225,South
MI,2018,1,19.09999999999999,15.400000000000006,6.3,19.1,1.2,-77.0,10.900000000000006,30.9,22.799999999999997,1814.8820326678765,Midwest
MI,2019,1,19.299999999999997,22.200000000000003,6.3,18.7,1.2,-77.5,11.299999999999995,29.0,22.799999999999997,1814.8820326678765,Midwest
MI,2020,1,22.0,29.0,6.5,18.7,1.2,-78.0,13.599999999999994,28.5,23.700000000000003,1745.2006980802794,Midwest
MI,2021,1,20.799999999999997,35.80000000000001,6.3,18.7,1.2,-79.0,12.5,23.9,24.200000000000003,1736.111111111111,Midwest
MI,2022,1,22.200000000000003,42.6,6.3,18.7,1.2,-80.0,9.799999999999995,24.8,21.200000000000003,1811.5942028985503,Midwest
MI,2023,1,22.40000000000001,42.6,6.3,18.7,1.2,-80.0,10.5,21.4,21.200000000000003,1769.9115044247787,Midwest
MN,2018,0,19.09999999999999,17.400000000000006,4.8,12.3,2.3,-82.0,7.799999999999997,25.5,25.299999999999997,1821.4936247723133,Midwest
MN,2019,0,18.799999999999997,25.27500000000001,4.8,12.3,2.3,-81.5,6.599999999999994,22.5,27.200000000000003,1821.4936247723133,Midwest
MN,2020,0,24.299999999999997,33.150000000000006,4.5,12.3,2.3,-81.0,14.099999999999994,19.4,27.200000000000003,1724.1379310344828,Midwest
