,precision,recall,f1-score,support
No ICU (0),0.913496018683683,0.9673242069596713,0.9396398441342262,51353.0
ICU Admit (1),0.7350805178402273,0.49743589743589745,0.5933477762202115,9360.0
accuracy,0.8948824798642795,0.8948824798642795,0.8948824798642795,0.8948824798642795
macro avg,0.8242882682619552,0.7323800521977843,0.7664938101772188,60713.0
weighted avg,0.8859900629922373,0.8948824798642795,0.8862526987835571,60713.0
