"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1989","1989","< 1 year","1","Black or African American","2054-5",0,10585,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","< 1 year","1","Other Race","2131-1",0,250,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","< 1 year","1","White","2106-3",0,19570,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","1-4 years","1-4","Black or African American","2054-5",0,36428,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","1-4 years","1-4","Other Race","2131-1",0,1109,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","1-4 years","1-4","White","2106-3",0,75245,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","5-9 years","5-9","Black or African American","2054-5",0,47568,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","5-9 years","5-9","Other Race","2131-1",0,1677,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","5-9 years","5-9","White","2106-3",0,95319,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","10-14 years","10-14","Black or African American","2054-5",0,48403,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","10-14 years","10-14","Other Race","2131-1",0,1745,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","10-14 years","10-14","White","2106-3",0,95702,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","15-19 years","15-19","Black or African American","2054-5",0,51255,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","15-19 years","15-19","Other Race","2131-1",0,1614,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","15-19 years","15-19","White","2106-3",Suppressed,107518,Suppressed,Suppressed
,"Alabama","01","1989","1989","20-24 years","20-24","Black or African American","2054-5",Suppressed,45295,Suppressed,Suppressed
,"Alabama","01","1989","1989","20-24 years","20-24","Other Race","2131-1",0,1488,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","20-24 years","20-24","White","2106-3",0,110642,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","25-34 years","25-34","Black or African American","2054-5",Suppressed,90164,Suppressed,Suppressed
,"Alabama","01","1989","1989","25-34 years","25-34","Other Race","2131-1",0,3819,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","25-34 years","25-34","White","2106-3",Suppressed,239496,Suppressed,Suppressed
,"Alabama","01","1989","1989","35-44 years","35-44","Black or African American","2054-5",Suppressed,69796,Suppressed,Suppressed
,"Alabama","01","1989","1989","35-44 years","35-44","Other Race","2131-1",0,3572,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","35-44 years","35-44","White","2106-3",0,217727,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","45-54 years","45-54","Black or African American","2054-5",Suppressed,43818,Suppressed,Suppressed
,"Alabama","01","1989","1989","45-54 years","45-54","Other Race","2131-1",0,1882,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","45-54 years","45-54","White","2106-3",0,169194,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","55-64 years","55-64","Black or African American","2054-5",0,40698,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","55-64 years","55-64","Other Race","2131-1",0,1144,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","55-64 years","55-64","White","2106-3",0,153981,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","65-74 years","65-74","Black or African American","2054-5",0,35851,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","65-74 years","65-74","Other Race","2131-1",0,534,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","65-74 years","65-74","White","2106-3",0,134850,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","75-84 years","75-84","Black or African American","2054-5",0,23406,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","75-84 years","75-84","Other Race","2131-1",0,242,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","75-84 years","75-84","White","2106-3",0,85203,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","85+ years","85+","Black or African American","2054-5",0,7707,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","85+ years","85+","Other Race","2131-1",0,48,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","85+ years","85+","White","2106-3",0,25610,0.00 (Unreliable),0.00%
,"Alabama","01","1989","1989","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1989","1989","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1989","1989","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1990","1990","< 1 year","1","Black or African American","2054-5",0,10738,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","< 1 year","1","Other Race","2131-1",0,252,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","< 1 year","1","White","2106-3",0,19819,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","1-4 years","1-4","Black or African American","2054-5",0,36245,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","1-4 years","1-4","Other Race","2131-1",0,1159,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","1-4 years","1-4","White","2106-3",0,74473,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","5-9 years","5-9","Black or African American","2054-5",0,46962,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","5-9 years","5-9","Other Race","2131-1",0,1736,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","5-9 years","5-9","White","2106-3",0,94411,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","10-14 years","10-14","Black or African American","2054-5",0,48909,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","10-14 years","10-14","Other Race","2131-1",0,1850,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","10-14 years","10-14","White","2106-3",0,95731,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","15-19 years","15-19","Black or African American","2054-5",0,51046,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","15-19 years","15-19","Other Race","2131-1",0,1689,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","15-19 years","15-19","White","2106-3",0,105745,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","20-24 years","20-24","Black or African American","2054-5",Suppressed,44127,Suppressed,Suppressed
,"Alabama","01","1990","1990","20-24 years","20-24","Other Race","2131-1",0,1535,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","20-24 years","20-24","White","2106-3",Suppressed,109163,Suppressed,Suppressed
,"Alabama","01","1990","1990","25-34 years","25-34","Black or African American","2054-5",Suppressed,90167,Suppressed,Suppressed
,"Alabama","01","1990","1990","25-34 years","25-34","Other Race","2131-1",0,3956,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","25-34 years","25-34","White","2106-3",Suppressed,237475,Suppressed,Suppressed
,"Alabama","01","1990","1990","35-44 years","35-44","Black or African American","2054-5",Suppressed,72754,Suppressed,Suppressed
,"Alabama","01","1990","1990","35-44 years","35-44","Other Race","2131-1",0,3775,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","35-44 years","35-44","White","2106-3",Suppressed,222054,Suppressed,Suppressed
,"Alabama","01","1990","1990","45-54 years","45-54","Black or African American","2054-5",0,43897,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","45-54 years","45-54","Other Race","2131-1",0,1997,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","45-54 years","45-54","White","2106-3",0,171453,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","55-64 years","55-64","Black or African American","2054-5",0,40673,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","55-64 years","55-64","Other Race","2131-1",0,1196,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","55-64 years","55-64","White","2106-3",0,154079,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","65-74 years","65-74","Black or African American","2054-5",0,35653,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","65-74 years","65-74","Other Race","2131-1",0,542,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","65-74 years","65-74","White","2106-3",0,135751,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","75-84 years","75-84","Black or African American","2054-5",0,23662,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","75-84 years","75-84","Other Race","2131-1",0,242,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","75-84 years","75-84","White","2106-3",0,86711,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","85+ years","85+","Black or African American","2054-5",0,7878,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","85+ years","85+","Other Race","2131-1",0,48,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","85+ years","85+","White","2106-3",0,26377,0.00 (Unreliable),0.00%
,"Alabama","01","1990","1990","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1990","1990","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1990","1990","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
