"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1968","1968","< 1 year","1","Black or African American","2054-5",0,10680,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","< 1 year","1","Other Race","2131-1",0,44,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","< 1 year","1","White","2106-3",0,20102,0.00 (Unreliable),0.00%
"Total","Alabama","01","1968","1968","< 1 year","1",,,0,30826,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","1-4 years","1-4","Black or African American","2054-5",0,40900,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","1-4 years","1-4","Other Race","2131-1",0,144,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","1-4 years","1-4","White","2106-3",0,83357,0.00 (Unreliable),0.00%
"Total","Alabama","01","1968","1968","1-4 years","1-4",,,0,124401,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","5-9 years","5-9","Black or African American","2054-5",0,57242,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","5-9 years","5-9","Other Race","2131-1",0,178,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","5-9 years","5-9","White","2106-3",0,116759,0.00 (Unreliable),0.00%
"Total","Alabama","01","1968","1968","5-9 years","5-9",,,0,174179,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","10-14 years","10-14","Black or African American","2054-5",0,60317,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","10-14 years","10-14","Other Race","2131-1",0,162,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","10-14 years","10-14","White","2106-3",0,119664,0.00 (Unreliable),0.00%
"Total","Alabama","01","1968","1968","10-14 years","10-14",,,0,180143,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","15-19 years","15-19","Black or African American","2054-5",2,53323,3.75 (Unreliable),0.05%
,"Alabama","01","1968","1968","15-19 years","15-19","Other Race","2131-1",0,191,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","15-19 years","15-19","White","2106-3",0,110372,0.00 (Unreliable),0.00%
"Total","Alabama","01","1968","1968","15-19 years","15-19",,,2,163886,1.22 (Unreliable),0.05%
,"Alabama","01","1968","1968","20-24 years","20-24","Black or African American","2054-5",5,30063,16.63 (Unreliable),0.13%
,"Alabama","01","1968","1968","20-24 years","20-24","Other Race","2131-1",0,242,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","20-24 years","20-24","White","2106-3",3,101109,2.97 (Unreliable),0.08%
"Total","Alabama","01","1968","1968","20-24 years","20-24",,,8,131414,6.09 (Unreliable),0.21%
,"Alabama","01","1968","1968","25-34 years","25-34","Black or African American","2054-5",7,44437,15.75 (Unreliable),0.19%
,"Alabama","01","1968","1968","25-34 years","25-34","Other Race","2131-1",0,441,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","25-34 years","25-34","White","2106-3",1,159571,0.63 (Unreliable),0.03%
"Total","Alabama","01","1968","1968","25-34 years","25-34",,,8,204449,3.91 (Unreliable),0.21%
,"Alabama","01","1968","1968","35-44 years","35-44","Black or African American","2054-5",5,48659,10.28 (Unreliable),0.13%
,"Alabama","01","1968","1968","35-44 years","35-44","Other Race","2131-1",0,424,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","35-44 years","35-44","White","2106-3",4,156867,2.55 (Unreliable),0.11%
"Total","Alabama","01","1968","1968","35-44 years","35-44",,,9,205950,4.37 (Unreliable),0.24%
,"Alabama","01","1968","1968","45-54 years","45-54","Black or African American","2054-5",0,45080,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","45-54 years","45-54","Other Race","2131-1",0,152,0.00 (Unreliable),0.00%
,"Alabama","01","1968","1968","45-54 years","45-54","White","2106-3",0,145304,0.00 (Unreliable),0.00%
