"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1984","1984","< 1 year","1","Black or African American","2054-5",0,10178,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","< 1 year","1","Other Race","2131-1",0,152,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","< 1 year","1","White","2106-3",0,18568,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","< 1 year","1",,,0,28898,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","1-4 years","1-4","Black or African American","2054-5",0,37250,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","1-4 years","1-4","Other Race","2131-1",0,882,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","1-4 years","1-4","White","2106-3",0,76949,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","1-4 years","1-4",,,0,115081,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","5-9 years","5-9","Black or African American","2054-5",0,46913,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","5-9 years","5-9","Other Race","2131-1",0,1126,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","5-9 years","5-9","White","2106-3",0,93784,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","5-9 years","5-9",,,0,141823,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","10-14 years","10-14","Black or African American","2054-5",0,49946,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","10-14 years","10-14","Other Race","2131-1",0,1289,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","10-14 years","10-14","White","2106-3",0,103884,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","10-14 years","10-14",,,0,155119,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","15-19 years","15-19","Black or African American","2054-5",2,52555,3.81 (Unreliable),0.14%
,"Alabama","01","1984","1984","15-19 years","15-19","Other Race","2131-1",0,1058,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","15-19 years","15-19","White","2106-3",1,110617,0.90 (Unreliable),0.07%
"Total","Alabama","01","1984","1984","15-19 years","15-19",,,3,164230,1.83 (Unreliable),0.21%
,"Alabama","01","1984","1984","20-24 years","20-24","Black or African American","2054-5",0,53007,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","20-24 years","20-24","Other Race","2131-1",0,1263,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","20-24 years","20-24","White","2106-3",0,130017,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","20-24 years","20-24",,,0,184287,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","25-34 years","25-34","Black or African American","2054-5",3,84804,3.54 (Unreliable),0.21%
,"Alabama","01","1984","1984","25-34 years","25-34","Other Race","2131-1",0,2979,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","25-34 years","25-34","White","2106-3",2,235881,0.85 (Unreliable),0.14%
"Total","Alabama","01","1984","1984","25-34 years","25-34",,,5,323664,1.54 (Unreliable),0.35%
,"Alabama","01","1984","1984","35-44 years","35-44","Black or African American","2054-5",0,54733,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","35-44 years","35-44","Other Race","2131-1",0,2279,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","35-44 years","35-44","White","2106-3",1,195419,0.51 (Unreliable),0.07%
"Total","Alabama","01","1984","1984","35-44 years","35-44",,,1,252431,0.40 (Unreliable),0.07%
,"Alabama","01","1984","1984","45-54 years","45-54","Black or African American","2054-5",0,43850,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","45-54 years","45-54","Other Race","2131-1",0,1332,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","45-54 years","45-54","White","2106-3",0,156276,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","45-54 years","45-54",,,0,201458,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","55-64 years","55-64","Black or African American","2054-5",0,41962,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","55-64 years","55-64","Other Race","2131-1",0,769,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","55-64 years","55-64","White","2106-3",0,157451,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","55-64 years","55-64",,,0,200182,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","65-74 years","65-74","Black or African American","2054-5",0,37291,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","65-74 years","65-74","Other Race","2131-1",0,441,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","65-74 years","65-74","White","2106-3",0,127367,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","65-74 years","65-74",,,0,165099,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","75-84 years","75-84","Black or African American","2054-5",0,21104,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","75-84 years","75-84","Other Race","2131-1",0,205,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","75-84 years","75-84","White","2106-3",0,73241,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","75-84 years","75-84",,,0,94550,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","85+ years","85+","Black or African American","2054-5",0,6701,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","85+ years","85+","Other Race","2131-1",0,44,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","85+ years","85+","White","2106-3",0,21412,0.00 (Unreliable),0.00%
"Total","Alabama","01","1984","1984","85+ years","85+",,,0,28157,0.00 (Unreliable),0.00%
,"Alabama","01","1984","1984","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1984","1984","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
