"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1984","1984","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1984","1984","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1984","1984",,,,,9,2054979,0.44 (Unreliable),0.63%
,"Alabama","01","1985","1985","< 1 year","1","Black or African American","2054-5",0,9927,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","< 1 year","1","Other Race","2131-1",0,214,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","< 1 year","1","White","2106-3",0,19124,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","< 1 year","1",,,0,29265,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","1-4 years","1-4","Black or African American","2054-5",0,36451,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","1-4 years","1-4","Other Race","2131-1",0,924,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","1-4 years","1-4","White","2106-3",0,76602,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","1-4 years","1-4",,,0,113977,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","5-9 years","5-9","Black or African American","2054-5",0,47600,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","5-9 years","5-9","Other Race","2131-1",0,1231,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","5-9 years","5-9","White","2106-3",0,94439,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","5-9 years","5-9",,,0,143270,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","10-14 years","10-14","Black or African American","2054-5",0,49598,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","10-14 years","10-14","Other Race","2131-1",0,1394,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","10-14 years","10-14","White","2106-3",0,101087,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","10-14 years","10-14",,,0,152079,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","15-19 years","15-19","Black or African American","2054-5",0,51326,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","15-19 years","15-19","Other Race","2131-1",0,1144,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","15-19 years","15-19","White","2106-3",1,109550,0.91 (Unreliable),0.07%
"Total","Alabama","01","1985","1985","15-19 years","15-19",,,1,162020,0.62 (Unreliable),0.07%
,"Alabama","01","1985","1985","20-24 years","20-24","Black or African American","2054-5",2,52267,3.83 (Unreliable),0.14%
,"Alabama","01","1985","1985","20-24 years","20-24","Other Race","2131-1",0,1324,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","20-24 years","20-24","White","2106-3",1,128319,0.78 (Unreliable),0.07%
"Total","Alabama","01","1985","1985","20-24 years","20-24",,,3,181910,1.65 (Unreliable),0.21%
,"Alabama","01","1985","1985","25-34 years","25-34","Black or African American","2054-5",3,86576,3.47 (Unreliable),0.21%
,"Alabama","01","1985","1985","25-34 years","25-34","Other Race","2131-1",0,3140,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","25-34 years","25-34","White","2106-3",1,239114,0.42 (Unreliable),0.07%
"Total","Alabama","01","1985","1985","25-34 years","25-34",,,4,328830,1.22 (Unreliable),0.28%
,"Alabama","01","1985","1985","35-44 years","35-44","Black or African American","2054-5",1,57449,1.74 (Unreliable),0.07%
,"Alabama","01","1985","1985","35-44 years","35-44","Other Race","2131-1",0,2527,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","35-44 years","35-44","White","2106-3",0,200545,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","35-44 years","35-44",,,1,260521,0.38 (Unreliable),0.07%
,"Alabama","01","1985","1985","45-54 years","45-54","Black or African American","2054-5",0,43826,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","45-54 years","45-54","Other Race","2131-1",0,1429,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","45-54 years","45-54","White","2106-3",0,157274,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","45-54 years","45-54",,,0,202529,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","55-64 years","55-64","Black or African American","2054-5",0,41692,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","55-64 years","55-64","Other Race","2131-1",0,841,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","55-64 years","55-64","White","2106-3",0,157496,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","55-64 years","55-64",,,0,200029,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","65-74 years","65-74","Black or African American","2054-5",0,36969,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","65-74 years","65-74","Other Race","2131-1",0,460,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","65-74 years","65-74","White","2106-3",0,128965,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","65-74 years","65-74",,,0,166394,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","75-84 years","75-84","Black or African American","2054-5",0,21609,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","75-84 years","75-84","Other Race","2131-1",0,217,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","75-84 years","75-84","White","2106-3",0,76053,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","75-84 years","75-84",,,0,97879,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","85+ years","85+","Black or African American","2054-5",0,6807,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","85+ years","85+","Other Race","2131-1",0,45,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","85+ years","85+","White","2106-3",0,22128,0.00 (Unreliable),0.00%
"Total","Alabama","01","1985","1985","85+ years","85+",,,0,28980,0.00 (Unreliable),0.00%
,"Alabama","01","1985","1985","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1985","1985","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1985","1985","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1985","1985","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1985","1985",,,,,9,2067683,0.44 (Unreliable),0.63%
,"Alabama","01","1986","1986","< 1 year","1","Black or African American","2054-5",0,10068,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","< 1 year","1","Other Race","2131-1",0,201,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","< 1 year","1","White","2106-3",0,18672,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","< 1 year","1",,,0,28941,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","1-4 years","1-4","Black or African American","2054-5",0,36010,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","1-4 years","1-4","Other Race","2131-1",0,962,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","1-4 years","1-4","White","2106-3",0,76291,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","1-4 years","1-4",,,0,113263,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","5-9 years","5-9","Black or African American","2054-5",0,48222,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","5-9 years","5-9","Other Race","2131-1",0,1344,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","5-9 years","5-9","White","2106-3",0,95982,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","5-9 years","5-9",,,0,145548,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","10-14 years","10-14","Black or African American","2054-5",0,48396,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","10-14 years","10-14","Other Race","2131-1",0,1481,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","10-14 years","10-14","White","2106-3",0,97513,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","10-14 years","10-14",,,0,147390,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","15-19 years","15-19","Black or African American","2054-5",0,51316,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","15-19 years","15-19","Other Race","2131-1",0,1249,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","15-19 years","15-19","White","2106-3",2,110315,1.81 (Unreliable),0.14%
"Total","Alabama","01","1986","1986","15-19 years","15-19",,,2,162880,1.23 (Unreliable),0.14%
,"Alabama","01","1986","1986","20-24 years","20-24","Black or African American","2054-5",1,50765,1.97 (Unreliable),0.07%
,"Alabama","01","1986","1986","20-24 years","20-24","Other Race","2131-1",0,1371,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","20-24 years","20-24","White","2106-3",0,123947,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","20-24 years","20-24",,,1,176083,0.57 (Unreliable),0.07%
,"Alabama","01","1986","1986","25-34 years","25-34","Black or African American","2054-5",5,87948,5.69 (Unreliable),0.35%
,"Alabama","01","1986","1986","25-34 years","25-34","Other Race","2131-1",0,3313,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","25-34 years","25-34","White","2106-3",1,241635,0.41 (Unreliable),0.07%
"Total","Alabama","01","1986","1986","25-34 years","25-34",,,6,332896,1.80 (Unreliable),0.42%
,"Alabama","01","1986","1986","35-44 years","35-44","Black or African American","2054-5",3,60490,4.96 (Unreliable),0.21%
,"Alabama","01","1986","1986","35-44 years","35-44","Other Race","2131-1",0,2787,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","35-44 years","35-44","White","2106-3",0,205786,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","35-44 years","35-44",,,3,269063,1.11 (Unreliable),0.21%
,"Alabama","01","1986","1986","45-54 years","45-54","Black or African American","2054-5",1,43640,2.29 (Unreliable),0.07%
,"Alabama","01","1986","1986","45-54 years","45-54","Other Race","2131-1",0,1529,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","45-54 years","45-54","White","2106-3",0,158339,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","45-54 years","45-54",,,1,203508,0.49 (Unreliable),0.07%
,"Alabama","01","1986","1986","55-64 years","55-64","Black or African American","2054-5",0,41472,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","55-64 years","55-64","Other Race","2131-1",0,918,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","55-64 years","55-64","White","2106-3",0,157170,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","55-64 years","55-64",,,0,199560,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","65-74 years","65-74","Black or African American","2054-5",0,36616,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","65-74 years","65-74","Other Race","2131-1",0,476,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","65-74 years","65-74","White","2106-3",0,130639,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","65-74 years","65-74",,,0,167731,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","75-84 years","75-84","Black or African American","2054-5",0,22046,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","75-84 years","75-84","Other Race","2131-1",0,226,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","75-84 years","75-84","White","2106-3",0,78428,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","75-84 years","75-84",,,0,100700,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","85+ years","85+","Black or African American","2054-5",0,7006,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","85+ years","85+","Other Race","2131-1",0,46,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","85+ years","85+","White","2106-3",0,22881,0.00 (Unreliable),0.00%
"Total","Alabama","01","1986","1986","85+ years","85+",,,0,29933,0.00 (Unreliable),0.00%
,"Alabama","01","1986","1986","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1986","1986","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1986","1986","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1986","1986","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1986","1986",,,,,13,2077496,0.63 (Unreliable),0.91%
,"Alabama","01","1987","1987","< 1 year","1","Black or African American","2054-5",0,9901,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","< 1 year","1","Other Race","2131-1",0,189,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","< 1 year","1","White","2106-3",0,18986,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","< 1 year","1",,,0,29076,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","1-4 years","1-4","Black or African American","2054-5",0,35835,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","1-4 years","1-4","Other Race","2131-1",0,1007,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","1-4 years","1-4","White","2106-3",0,75874,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","1-4 years","1-4",,,0,112716,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","5-9 years","5-9","Black or African American","2054-5",0,48396,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","5-9 years","5-9","Other Race","2131-1",0,1445,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","5-9 years","5-9","White","2106-3",0,96377,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","5-9 years","5-9",,,0,146218,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","10-14 years","10-14","Black or African American","2054-5",0,48084,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","10-14 years","10-14","Other Race","2131-1",0,1556,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","10-14 years","10-14","White","2106-3",0,96056,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","10-14 years","10-14",,,0,145696,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","15-19 years","15-19","Black or African American","2054-5",1,51667,1.94 (Unreliable),0.07%
,"Alabama","01","1987","1987","15-19 years","15-19","Other Race","2131-1",0,1371,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","15-19 years","15-19","White","2106-3",0,110370,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","15-19 years","15-19",,,1,163408,0.61 (Unreliable),0.07%
,"Alabama","01","1987","1987","20-24 years","20-24","Black or African American","2054-5",0,48982,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","20-24 years","20-24","Other Race","2131-1",0,1408,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","20-24 years","20-24","White","2106-3",1,119354,0.84 (Unreliable),0.07%
"Total","Alabama","01","1987","1987","20-24 years","20-24",,,1,169744,0.59 (Unreliable),0.07%
,"Alabama","01","1987","1987","25-34 years","25-34","Black or African American","2054-5",1,89435,1.12 (Unreliable),0.07%
,"Alabama","01","1987","1987","25-34 years","25-34","Other Race","2131-1",0,3485,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","25-34 years","25-34","White","2106-3",1,243167,0.41 (Unreliable),0.07%
"Total","Alabama","01","1987","1987","25-34 years","25-34",,,2,336087,0.60 (Unreliable),0.14%
,"Alabama","01","1987","1987","35-44 years","35-44","Black or African American","2054-5",0,63647,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","35-44 years","35-44","Other Race","2131-1",0,3047,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","35-44 years","35-44","White","2106-3",0,211486,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","35-44 years","35-44",,,0,278180,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","45-54 years","45-54","Black or African American","2054-5",0,43698,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","45-54 years","45-54","Other Race","2131-1",0,1633,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","45-54 years","45-54","White","2106-3",0,160875,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","45-54 years","45-54",,,0,206206,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","55-64 years","55-64","Black or African American","2054-5",0,41393,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","55-64 years","55-64","Other Race","2131-1",0,983,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","55-64 years","55-64","White","2106-3",0,156499,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","55-64 years","55-64",,,0,198875,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","65-74 years","65-74","Black or African American","2054-5",0,36312,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","65-74 years","65-74","Other Race","2131-1",0,492,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","65-74 years","65-74","White","2106-3",0,132509,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","65-74 years","65-74",,,0,169313,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","75-84 years","75-84","Black or African American","2054-5",0,22544,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","75-84 years","75-84","Other Race","2131-1",0,229,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","75-84 years","75-84","White","2106-3",0,80741,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","75-84 years","75-84",,,0,103514,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","85+ years","85+","Black or African American","2054-5",0,7261,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","85+ years","85+","Other Race","2131-1",0,46,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","85+ years","85+","White","2106-3",0,23848,0.00 (Unreliable),0.00%
"Total","Alabama","01","1987","1987","85+ years","85+",,,0,31155,0.00 (Unreliable),0.00%
,"Alabama","01","1987","1987","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1987","1987","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1987","1987","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1987","1987","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1987","1987",,,,,4,2090188,0.19 (Unreliable),0.28%
,"Alabama","01","1988","1988","< 1 year","1","Black or African American","2054-5",0,10261,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","< 1 year","1","Other Race","2131-1",0,227,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","< 1 year","1","White","2106-3",0,19032,0.00 (Unreliable),0.00%
"Total","Alabama","01","1988","1988","< 1 year","1",,,0,29520,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","1-4 years","1-4","Black or African American","2054-5",0,35876,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","1-4 years","1-4","Other Race","2131-1",0,1050,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","1-4 years","1-4","White","2106-3",0,75472,0.00 (Unreliable),0.00%
"Total","Alabama","01","1988","1988","1-4 years","1-4",,,0,112398,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","5-9 years","5-9","Black or African American","2054-5",0,48193,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","5-9 years","5-9","Other Race","2131-1",0,1564,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","5-9 years","5-9","White","2106-3",0,96188,0.00 (Unreliable),0.00%
"Total","Alabama","01","1988","1988","5-9 years","5-9",,,0,145945,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","10-14 years","10-14","Black or African American","2054-5",0,47934,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","10-14 years","10-14","Other Race","2131-1",0,1651,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","10-14 years","10-14","White","2106-3",0,95663,0.00 (Unreliable),0.00%
"Total","Alabama","01","1988","1988","10-14 years","10-14",,,0,145248,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","15-19 years","15-19","Black or African American","2054-5",0,51750,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","15-19 years","15-19","Other Race","2131-1",0,1503,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","15-19 years","15-19","White","2106-3",1,109592,0.91 (Unreliable),0.07%
"Total","Alabama","01","1988","1988","15-19 years","15-19",,,1,162845,0.61 (Unreliable),0.07%
,"Alabama","01","1988","1988","20-24 years","20-24","Black or African American","2054-5",2,47069,4.25 (Unreliable),0.14%
,"Alabama","01","1988","1988","20-24 years","20-24","Other Race","2131-1",0,1438,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","20-24 years","20-24","White","2106-3",4,114552,3.49 (Unreliable),0.28%
"Total","Alabama","01","1988","1988","20-24 years","20-24",,,6,163059,3.68 (Unreliable),0.42%
,"Alabama","01","1988","1988","25-34 years","25-34","Black or African American","2054-5",0,90124,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","25-34 years","25-34","Other Race","2131-1",0,3654,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","25-34 years","25-34","White","2106-3",0,241945,0.00 (Unreliable),0.00%
"Total","Alabama","01","1988","1988","25-34 years","25-34",,,0,335723,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","35-44 years","35-44","Black or African American","2054-5",1,66511,1.50 (Unreliable),0.07%
,"Alabama","01","1988","1988","35-44 years","35-44","Other Race","2131-1",0,3311,0.00 (Unreliable),0.00%
,"Alabama","01","1988","1988","35-44 years","35-44","White","2106-3",0,213555,0.00 (Unreliable),0.00%
