"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1994","1994","< 1 year","1","Black or African American","2054-5",0,10277,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","< 1 year","1","Other Race","2131-1",0,290,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","< 1 year","1","White","2106-3",0,19238,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","1-4 years","1-4","Black or African American","2054-5",0,39901,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","1-4 years","1-4","Other Race","2131-1",0,1204,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","1-4 years","1-4","White","2106-3",0,77298,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","5-9 years","5-9","Black or African American","2054-5",0,47185,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","5-9 years","5-9","Other Race","2131-1",0,1671,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","5-9 years","5-9","White","2106-3",0,94188,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","10-14 years","10-14","Black or African American","2054-5",0,50965,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","10-14 years","10-14","Other Race","2131-1",0,2022,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","10-14 years","10-14","White","2106-3",0,99869,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","15-19 years","15-19","Black or African American","2054-5",0,52950,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","15-19 years","15-19","Other Race","2131-1",0,2085,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","15-19 years","15-19","White","2106-3",0,100799,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","20-24 years","20-24","Black or African American","2054-5",Suppressed,49888,Suppressed,Suppressed
,"Alabama","01","1994","1994","20-24 years","20-24","Other Race","2131-1",0,2136,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","20-24 years","20-24","White","2106-3",Suppressed,112917,Suppressed,Suppressed
,"Alabama","01","1994","1994","25-34 years","25-34","Black or African American","2054-5",Suppressed,87128,Suppressed,Suppressed
,"Alabama","01","1994","1994","25-34 years","25-34","Other Race","2131-1",Suppressed,4317,Suppressed,Suppressed
,"Alabama","01","1994","1994","25-34 years","25-34","White","2106-3",Suppressed,229612,Suppressed,Suppressed
,"Alabama","01","1994","1994","35-44 years","35-44","Black or African American","2054-5",Suppressed,89032,Suppressed,Suppressed
,"Alabama","01","1994","1994","35-44 years","35-44","Other Race","2131-1",0,4661,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","35-44 years","35-44","White","2106-3",0,239956,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","45-54 years","45-54","Black or African American","2054-5",0,53611,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","45-54 years","45-54","Other Race","2131-1",0,2954,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","45-54 years","45-54","White","2106-3",0,200679,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","55-64 years","55-64","Black or African American","2054-5",0,40845,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","55-64 years","55-64","Other Race","2131-1",0,1473,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","55-64 years","55-64","White","2106-3",0,157824,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","65-74 years","65-74","Black or African American","2054-5",0,36076,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","65-74 years","65-74","Other Race","2131-1",0,718,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","65-74 years","65-74","White","2106-3",0,142582,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","75-84 years","75-84","Black or African American","2054-5",0,23766,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","75-84 years","75-84","Other Race","2131-1",0,268,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","75-84 years","75-84","White","2106-3",0,91845,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","85+ years","85+","Black or African American","2054-5",0,9476,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","85+ years","85+","Other Race","2131-1",0,52,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","85+ years","85+","White","2106-3",0,32428,0.00 (Unreliable),0.00%
,"Alabama","01","1994","1994","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1994","1994","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1994","1994","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1995","1995","< 1 year","1","Black or African American","2054-5",0,9890,0.00 (Unreliable),0.00%
,"Alabama","01","1995","1995","< 1 year","1","Other Race","2131-1",0,345,0.00 (Unreliable),0.00%
,"Alabama","01","1995","1995","< 1 year","1","White","2106-3",0,19260,0.00 (Unreliable),0.00%
,"Alabama","01","1995","1995","1-4 years","1-4","Black or African American","2054-5",0,40461,0.00 (Unreliable),0.00%
