"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1979","1979","< 1 year","1","Black or African American","2054-5",0,11144,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","< 1 year","1","Other Race","2131-1",0,134,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","< 1 year","1","White","2106-3",0,19404,0.00 (Unreliable),0.00%
"Total","Alabama","01","1979","1979","< 1 year","1",,,0,30682,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","1-4 years","1-4","Black or African American","2054-5",0,37835,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","1-4 years","1-4","Other Race","2131-1",0,613,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","1-4 years","1-4","White","2106-3",0,76898,0.00 (Unreliable),0.00%
"Total","Alabama","01","1979","1979","1-4 years","1-4",,,0,115346,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","5-9 years","5-9","Black or African American","2054-5",0,49104,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","5-9 years","5-9","Other Race","2131-1",0,785,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","5-9 years","5-9","White","2106-3",0,105264,0.00 (Unreliable),0.00%
"Total","Alabama","01","1979","1979","5-9 years","5-9",,,0,155153,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","10-14 years","10-14","Black or African American","2054-5",0,50942,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","10-14 years","10-14","Other Race","2131-1",0,741,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","10-14 years","10-14","White","2106-3",0,110729,0.00 (Unreliable),0.00%
"Total","Alabama","01","1979","1979","10-14 years","10-14",,,0,162412,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","15-19 years","15-19","Black or African American","2054-5",1,59084,1.69 (Unreliable),0.06%
,"Alabama","01","1979","1979","15-19 years","15-19","Other Race","2131-1",0,697,0.00 (Unreliable),0.00%
,"Alabama","01","1979","1979","15-19 years","15-19","White","2106-3",0,129175,0.00 (Unreliable),0.00%
