"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
"Total","Alabama","01","1973","1973","15-19 years","15-19",,,1,181458,0.55 (Unreliable),0.04%
,"Alabama","01","1973","1973","20-24 years","20-24","Black or African American","2054-5",2,43269,4.62 (Unreliable),0.08%
,"Alabama","01","1973","1973","20-24 years","20-24","Other Race","2131-1",0,502,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","20-24 years","20-24","White","2106-3",0,113436,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","20-24 years","20-24",,,2,157207,1.27 (Unreliable),0.08%
,"Alabama","01","1973","1973","25-34 years","25-34","Black or African American","2054-5",2,49965,4.00 (Unreliable),0.08%
,"Alabama","01","1973","1973","25-34 years","25-34","Other Race","2131-1",0,917,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","25-34 years","25-34","White","2106-3",2,184907,1.08 (Unreliable),0.08%
"Total","Alabama","01","1973","1973","25-34 years","25-34",,,4,235789,1.70 (Unreliable),0.16%
,"Alabama","01","1973","1973","35-44 years","35-44","Black or African American","2054-5",3,44320,6.77 (Unreliable),0.12%
,"Alabama","01","1973","1973","35-44 years","35-44","Other Race","2131-1",0,737,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","35-44 years","35-44","White","2106-3",0,152575,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","35-44 years","35-44",,,3,197632,1.52 (Unreliable),0.12%
,"Alabama","01","1973","1973","45-54 years","45-54","Black or African American","2054-5",0,45643,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","45-54 years","45-54","Other Race","2131-1",0,458,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","45-54 years","45-54","White","2106-3",0,157073,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","45-54 years","45-54",,,0,203174,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","55-64 years","55-64","Black or African American","2054-5",0,41972,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","55-64 years","55-64","Other Race","2131-1",0,279,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","55-64 years","55-64","White","2106-3",0,134697,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","55-64 years","55-64",,,0,176948,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","65-74 years","65-74","Black or African American","2054-5",0,34254,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","65-74 years","65-74","Other Race","2131-1",0,215,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","65-74 years","65-74","White","2106-3",0,97983,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","65-74 years","65-74",,,0,132452,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","75-84 years","75-84","Black or African American","2054-5",0,15274,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","75-84 years","75-84","Other Race","2131-1",0,106,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","75-84 years","75-84","White","2106-3",0,49057,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","75-84 years","75-84",,,0,64437,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","85+ years","85+","Black or African American","2054-5",0,4589,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","85+ years","85+","Other Race","2131-1",0,32,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","85+ years","85+","White","2106-3",0,12309,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","85+ years","85+",,,0,16930,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1973","1973","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1973","1973","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1973","1973","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1973","1973",,,,,12,1853022,0.65 (Unreliable),0.49%
,"Alabama","01","1974","1974","< 1 year","1","Black or African American","2054-5",0,10119,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","< 1 year","1","Other Race","2131-1",0,78,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","< 1 year","1","White","2106-3",0,18663,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","< 1 year","1",,,0,28860,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","1-4 years","1-4","Black or African American","2054-5",0,37272,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","1-4 years","1-4","Other Race","2131-1",0,375,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","1-4 years","1-4","White","2106-3",0,80045,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","1-4 years","1-4",,,0,117692,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","5-9 years","5-9","Black or African American","2054-5",0,48759,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","5-9 years","5-9","Other Race","2131-1",0,463,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","5-9 years","5-9","White","2106-3",0,105444,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","5-9 years","5-9",,,0,154666,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","10-14 years","10-14","Black or African American","2054-5",0,56980,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","10-14 years","10-14","Other Race","2131-1",0,489,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","10-14 years","10-14","White","2106-3",0,122659,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","10-14 years","10-14",,,0,180128,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","15-19 years","15-19","Black or African American","2054-5",2,58400,3.42 (Unreliable),0.08%
,"Alabama","01","1974","1974","15-19 years","15-19","Other Race","2131-1",0,445,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","15-19 years","15-19","White","2106-3",1,125895,0.79 (Unreliable),0.04%
"Total","Alabama","01","1974","1974","15-19 years","15-19",,,3,184740,1.62 (Unreliable),0.12%
,"Alabama","01","1974","1974","20-24 years","20-24","Black or African American","2054-5",4,45757,8.74 (Unreliable),0.16%
,"Alabama","01","1974","1974","20-24 years","20-24","Other Race","2131-1",0,565,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","20-24 years","20-24","White","2106-3",1,116106,0.86 (Unreliable),0.04%
"Total","Alabama","01","1974","1974","20-24 years","20-24",,,5,162428,3.08 (Unreliable),0.21%
,"Alabama","01","1974","1974","25-34 years","25-34","Black or African American","2054-5",7,52314,13.38 (Unreliable),0.29%
,"Alabama","01","1974","1974","25-34 years","25-34","Other Race","2131-1",0,1053,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","25-34 years","25-34","White","2106-3",2,192305,1.04 (Unreliable),0.08%
"Total","Alabama","01","1974","1974","25-34 years","25-34",,,9,245672,3.66 (Unreliable),0.37%
,"Alabama","01","1974","1974","35-44 years","35-44","Black or African American","2054-5",1,43898,2.28 (Unreliable),0.04%
,"Alabama","01","1974","1974","35-44 years","35-44","Other Race","2131-1",0,805,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","35-44 years","35-44","White","2106-3",0,153730,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","35-44 years","35-44",,,1,198433,0.50 (Unreliable),0.04%
,"Alabama","01","1974","1974","45-54 years","45-54","Black or African American","2054-5",0,45634,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","45-54 years","45-54","Other Race","2131-1",0,526,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","45-54 years","45-54","White","2106-3",0,158481,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","45-54 years","45-54",,,0,204641,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","55-64 years","55-64","Black or African American","2054-5",0,42038,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","55-64 years","55-64","Other Race","2131-1",0,300,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","55-64 years","55-64","White","2106-3",0,136762,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","55-64 years","55-64",,,0,179100,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","65-74 years","65-74","Black or African American","2054-5",0,35099,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","65-74 years","65-74","Other Race","2131-1",0,233,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","65-74 years","65-74","White","2106-3",0,101824,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","65-74 years","65-74",,,0,137156,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","75-84 years","75-84","Black or African American","2054-5",0,15918,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","75-84 years","75-84","Other Race","2131-1",0,118,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","75-84 years","75-84","White","2106-3",0,50688,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","75-84 years","75-84",,,0,66724,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","85+ years","85+","Black or African American","2054-5",0,4912,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","85+ years","85+","Other Race","2131-1",0,31,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","85+ years","85+","White","2106-3",0,13360,0.00 (Unreliable),0.00%
"Total","Alabama","01","1974","1974","85+ years","85+",,,0,18303,0.00 (Unreliable),0.00%
,"Alabama","01","1974","1974","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1974","1974","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1974","1974","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1974","1974","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1974","1974",,,,,18,1878543,0.96 (Unreliable),0.74%
,"Alabama","01","1975","1975","< 1 year","1","Black or African American","2054-5",0,9836,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","< 1 year","1","Other Race","2131-1",0,70,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","< 1 year","1","White","2106-3",0,18324,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","< 1 year","1",,,0,28230,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","1-4 years","1-4","Black or African American","2054-5",0,37124,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","1-4 years","1-4","Other Race","2131-1",0,419,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","1-4 years","1-4","White","2106-3",0,79190,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","1-4 years","1-4",,,0,116733,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","5-9 years","5-9","Black or African American","2054-5",0,48184,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","5-9 years","5-9","Other Race","2131-1",0,520,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","5-9 years","5-9","White","2106-3",0,105300,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","5-9 years","5-9",,,0,154004,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","10-14 years","10-14","Black or African American","2054-5",0,56312,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","10-14 years","10-14","Other Race","2131-1",0,544,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","10-14 years","10-14","White","2106-3",0,121366,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","10-14 years","10-14",,,0,178222,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","15-19 years","15-19","Black or African American","2054-5",2,59260,3.37 (Unreliable),0.08%
,"Alabama","01","1975","1975","15-19 years","15-19","Other Race","2131-1",0,500,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","15-19 years","15-19","White","2106-3",0,127853,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","15-19 years","15-19",,,2,187613,1.07 (Unreliable),0.08%
,"Alabama","01","1975","1975","20-24 years","20-24","Black or African American","2054-5",2,48736,4.10 (Unreliable),0.08%
,"Alabama","01","1975","1975","20-24 years","20-24","Other Race","2131-1",0,647,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","20-24 years","20-24","White","2106-3",0,119391,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","20-24 years","20-24",,,2,168774,1.19 (Unreliable),0.08%
,"Alabama","01","1975","1975","25-34 years","25-34","Black or African American","2054-5",2,55177,3.62 (Unreliable),0.08%
,"Alabama","01","1975","1975","25-34 years","25-34","Other Race","2131-1",0,1207,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","25-34 years","25-34","White","2106-3",3,199471,1.50 (Unreliable),0.12%
"Total","Alabama","01","1975","1975","25-34 years","25-34",,,5,255855,1.95 (Unreliable),0.21%
,"Alabama","01","1975","1975","35-44 years","35-44","Black or African American","2054-5",2,43585,4.59 (Unreliable),0.08%
,"Alabama","01","1975","1975","35-44 years","35-44","Other Race","2131-1",0,889,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","35-44 years","35-44","White","2106-3",2,154956,1.29 (Unreliable),0.08%
"Total","Alabama","01","1975","1975","35-44 years","35-44",,,4,199430,2.01 (Unreliable),0.16%
,"Alabama","01","1975","1975","45-54 years","45-54","Black or African American","2054-5",0,45813,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","45-54 years","45-54","Other Race","2131-1",0,613,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","45-54 years","45-54","White","2106-3",0,159688,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","45-54 years","45-54",,,0,206114,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","55-64 years","55-64","Black or African American","2054-5",0,42243,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","55-64 years","55-64","Other Race","2131-1",0,335,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","55-64 years","55-64","White","2106-3",0,139137,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","55-64 years","55-64",,,0,181715,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","65-74 years","65-74","Black or African American","2054-5",0,35859,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","65-74 years","65-74","Other Race","2131-1",0,263,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","65-74 years","65-74","White","2106-3",0,105608,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","65-74 years","65-74",,,0,141730,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","75-84 years","75-84","Black or African American","2054-5",0,16472,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","75-84 years","75-84","Other Race","2131-1",0,130,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","75-84 years","75-84","White","2106-3",0,52234,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","75-84 years","75-84",,,0,68836,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","85+ years","85+","Black or African American","2054-5",0,5204,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","85+ years","85+","Other Race","2131-1",0,38,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","85+ years","85+","White","2106-3",0,14383,0.00 (Unreliable),0.00%
"Total","Alabama","01","1975","1975","85+ years","85+",,,0,19625,0.00 (Unreliable),0.00%
,"Alabama","01","1975","1975","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1975","1975","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1975","1975","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1975","1975","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1975","1975",,,,,13,1906881,0.68 (Unreliable),0.54%
,"Alabama","01","1976","1976","< 1 year","1","Black or African American","2054-5",0,9966,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","< 1 year","1","Other Race","2131-1",0,113,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","< 1 year","1","White","2106-3",0,18269,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","< 1 year","1",,,0,28348,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","1-4 years","1-4","Black or African American","2054-5",0,36590,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","1-4 years","1-4","Other Race","2131-1",0,457,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","1-4 years","1-4","White","2106-3",0,76443,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","1-4 years","1-4",,,0,113490,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","5-9 years","5-9","Black or African American","2054-5",0,48953,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","5-9 years","5-9","Other Race","2131-1",0,594,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","5-9 years","5-9","White","2106-3",0,107296,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","5-9 years","5-9",,,0,156843,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","10-14 years","10-14","Black or African American","2054-5",0,55456,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","10-14 years","10-14","Other Race","2131-1",0,600,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","10-14 years","10-14","White","2106-3",0,119021,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","10-14 years","10-14",,,0,175077,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","15-19 years","15-19","Black or African American","2054-5",1,60092,1.66 (Unreliable),0.04%
,"Alabama","01","1976","1976","15-19 years","15-19","Other Race","2131-1",0,556,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","15-19 years","15-19","White","2106-3",0,130345,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","15-19 years","15-19",,,1,190993,0.52 (Unreliable),0.04%
,"Alabama","01","1976","1976","20-24 years","20-24","Black or African American","2054-5",1,50112,2.00 (Unreliable),0.04%
,"Alabama","01","1976","1976","20-24 years","20-24","Other Race","2131-1",0,709,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","20-24 years","20-24","White","2106-3",2,122757,1.63 (Unreliable),0.08%
"Total","Alabama","01","1976","1976","20-24 years","20-24",,,3,173578,1.73 (Unreliable),0.12%
,"Alabama","01","1976","1976","25-34 years","25-34","Black or African American","2054-5",6,59475,10.09 (Unreliable),0.25%
,"Alabama","01","1976","1976","25-34 years","25-34","Other Race","2131-1",0,1398,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","25-34 years","25-34","White","2106-3",1,207271,0.48 (Unreliable),0.04%
"Total","Alabama","01","1976","1976","25-34 years","25-34",,,7,268144,2.61 (Unreliable),0.29%
,"Alabama","01","1976","1976","35-44 years","35-44","Black or African American","2054-5",0,43985,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","35-44 years","35-44","Other Race","2131-1",0,976,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","35-44 years","35-44","White","2106-3",1,157664,0.63 (Unreliable),0.04%
"Total","Alabama","01","1976","1976","35-44 years","35-44",,,1,202625,0.49 (Unreliable),0.04%
,"Alabama","01","1976","1976","45-54 years","45-54","Black or African American","2054-5",0,45875,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","45-54 years","45-54","Other Race","2131-1",0,685,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","45-54 years","45-54","White","2106-3",0,161050,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","45-54 years","45-54",,,0,207610,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","55-64 years","55-64","Black or African American","2054-5",0,42505,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","55-64 years","55-64","Other Race","2131-1",0,360,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","55-64 years","55-64","White","2106-3",0,142510,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","55-64 years","55-64",,,0,185375,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","65-74 years","65-74","Black or African American","2054-5",0,36505,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","65-74 years","65-74","Other Race","2131-1",0,288,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","65-74 years","65-74","White","2106-3",0,109175,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","65-74 years","65-74",,,0,145968,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","75-84 years","75-84","Black or African American","2054-5",0,16628,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","75-84 years","75-84","Other Race","2131-1",0,142,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","75-84 years","75-84","White","2106-3",0,53440,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","75-84 years","75-84",,,0,70210,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","85+ years","85+","Black or African American","2054-5",0,5162,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","85+ years","85+","Other Race","2131-1",0,42,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","85+ years","85+","White","2106-3",0,14820,0.00 (Unreliable),0.00%
"Total","Alabama","01","1976","1976","85+ years","85+",,,0,20024,0.00 (Unreliable),0.00%
,"Alabama","01","1976","1976","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1976","1976","Not Stated","NS","Other Race","2131-1",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","1976","1976","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1976","1976","Not Stated","NS",,,0,Not Applicable,Not Applicable,0.00%
"Total","Alabama","01","1976","1976",,,,,12,1938285,0.62 (Unreliable),0.49%
,"Alabama","01","1977","1977","< 1 year","1","Black or African American","2054-5",0,10548,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","< 1 year","1","Other Race","2131-1",0,105,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","< 1 year","1","White","2106-3",0,19705,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","< 1 year","1",,,0,30358,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","1-4 years","1-4","Black or African American","2054-5",0,36627,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","1-4 years","1-4","Other Race","2131-1",0,502,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","1-4 years","1-4","White","2106-3",0,75674,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","1-4 years","1-4",,,0,112803,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","5-9 years","5-9","Black or African American","2054-5",0,49329,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","5-9 years","5-9","Other Race","2131-1",0,660,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","5-9 years","5-9","White","2106-3",0,107395,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","5-9 years","5-9",,,0,157384,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","10-14 years","10-14","Black or African American","2054-5",1,53955,1.85 (Unreliable),0.04%
,"Alabama","01","1977","1977","10-14 years","10-14","Other Race","2131-1",0,653,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","10-14 years","10-14","White","2106-3",0,116182,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","10-14 years","10-14",,,1,170790,0.59 (Unreliable),0.04%
,"Alabama","01","1977","1977","15-19 years","15-19","Black or African American","2054-5",2,59926,3.34 (Unreliable),0.08%
,"Alabama","01","1977","1977","15-19 years","15-19","Other Race","2131-1",0,605,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","15-19 years","15-19","White","2106-3",0,130433,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","15-19 years","15-19",,,2,190964,1.05 (Unreliable),0.08%
,"Alabama","01","1977","1977","20-24 years","20-24","Black or African American","2054-5",1,51433,1.94 (Unreliable),0.04%
,"Alabama","01","1977","1977","20-24 years","20-24","Other Race","2131-1",0,773,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","20-24 years","20-24","White","2106-3",0,125352,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","20-24 years","20-24",,,1,177558,0.56 (Unreliable),0.04%
,"Alabama","01","1977","1977","25-34 years","25-34","Black or African American","2054-5",3,63342,4.74 (Unreliable),0.12%
,"Alabama","01","1977","1977","25-34 years","25-34","Other Race","2131-1",0,1601,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","25-34 years","25-34","White","2106-3",2,214014,0.93 (Unreliable),0.08%
"Total","Alabama","01","1977","1977","25-34 years","25-34",,,5,278957,1.79 (Unreliable),0.21%
,"Alabama","01","1977","1977","35-44 years","35-44","Black or African American","2054-5",2,44359,4.51 (Unreliable),0.08%
,"Alabama","01","1977","1977","35-44 years","35-44","Other Race","2131-1",0,1065,0.00 (Unreliable),0.00%
,"Alabama","01","1977","1977","35-44 years","35-44","White","2106-3",0,161162,0.00 (Unreliable),0.00%
"Total","Alabama","01","1977","1977","35-44 years","35-44",,,2,206586,0.97 (Unreliable),0.08%
