"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","1973","1973","< 1 year","1","Black or African American","2054-5",0,10106,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","< 1 year","1","Other Race","2131-1",0,101,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","< 1 year","1","White","2106-3",0,18971,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","< 1 year","1",,,0,29178,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","1-4 years","1-4","Black or African American","2054-5",0,37634,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","1-4 years","1-4","Other Race","2131-1",0,334,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","1-4 years","1-4","White","2106-3",0,80832,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","1-4 years","1-4",,,0,118800,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","5-9 years","5-9","Black or African American","2054-5",0,50043,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","5-9 years","5-9","Other Race","2131-1",0,420,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","5-9 years","5-9","White","2106-3",0,107133,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","5-9 years","5-9",,,0,157596,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","10-14 years","10-14","Black or African American","2054-5",2,57952,3.45 (Unreliable),0.08%
,"Alabama","01","1973","1973","10-14 years","10-14","Other Race","2131-1",0,435,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","10-14 years","10-14","White","2106-3",0,123034,0.00 (Unreliable),0.00%
"Total","Alabama","01","1973","1973","10-14 years","10-14",,,2,181421,1.10 (Unreliable),0.08%
,"Alabama","01","1973","1973","15-19 years","15-19","Black or African American","2054-5",1,57548,1.74 (Unreliable),0.04%
,"Alabama","01","1973","1973","15-19 years","15-19","Other Race","2131-1",0,398,0.00 (Unreliable),0.00%
,"Alabama","01","1973","1973","15-19 years","15-19","White","2106-3",0,123512,0.00 (Unreliable),0.00%
