Risk Factor / Complication,PC1,PC2
Unplanned Hysterectomy,0.5750600722489502,-0.07303612662642518
ICU Admission,0.55274803666141,0.0031287134048363103
Maternal Transfusion,0.48965749298735234,0.019744009349375053
Ruptured Uterus,0.3410300630453854,-0.10547777485286713
Gestational Hypertension,0.05671928100507212,0.6877048518968014
Hypertension Eclampsia,0.05057379889313031,0.2186749013973827
Perineal Laceration,0.0364491953480887,-0.00639233870710648
Gestational Diabetes,0.02462167985439565,0.6799580947742562
