Kernel,Accuracy (Cost = 0.1),Accuracy (Cost = 1.0),Accuracy (Cost = 10.0)
linear,0.8421052631578947,0.8947368421052632,0.8421052631578947
poly,0.631578947368421,0.7368421052631579,0.9473684210526315
rbf,0.5789473684210527,0.9473684210526315,1.0
