Abortion_Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Severe Maternal Morbidity,Unintended Pregnancy,No Preventative,Patients Per Doctor
1,-0.4180120132731154,-0.03862175458906901,0.9936115740250515,0.3531085490883667,1.5460503098340979,-0.6037664072376039,1.3716802711119742,-0.6972191268520797,0.7989879189580634,0.4586226145231392,1.505118852563184
1,2.0466511265256835,0.5773790034786246,0.20861541705720774,-0.001039573746089101,-0.7299693364293516,-0.23493839277446585,0.4521321525448048,0.7714884459857535,1.2219946330954143,0.4586226145231392,0.5138117275434998
0,0.3252990923804899,-0.6072378389592503,-0.10538304572993007,-0.8611135863440531,-0.8202875763604408,-0.05052438554289681,0.4521321525448048,0.8697662761384708,-0.4591858974504681,-1.305804749022524,-0.3988324655622915
1,1.3229008394419086,1.2407644352438356,0.05161618566363883,0.4669418742851559,-0.2241871928152517,0.3183036289202413,1.5188079700827233,-0.4788239487349298,2.8597898596272096,1.5083452232148646,0.8856829630662202
1,0.3644207295201546,-1.3180079444219752,1.2291104211154045,1.6179232734971367,0.08289482295045185,-0.05052438554289681,-0.6513255897357985,-0.40784551584685624,1.1026850470566743,-1.6408226028603086,0.7467577389807318
0,-1.004836570368068,-0.6072378389592503,-1.9108742067559708,-1.278502445398947,-0.8925421683053123,-1.157008428932311,-0.9087990629346017,1.2246584405788394,-0.9689632196159937,-1.395142843379267,-1.079655181885878
0,-1.5134178531836961,-0.37031447047167537,-1.0473784340913421,-1.0508357950053686,-0.8925421683053123,-0.972594421700742,-1.0191448371626661,1.017183021367547,-0.6544197655138606,-1.3281392726117116,-1.2664470930917053
0,-0.26152546471446264,-0.22816044937913002,-0.8903792026977739,-1.0002432060290176,-0.8744785203190946,-0.972594421700742,-0.08120575622414923,-0.4897437076407874,-1.0177716866318418,0.4809571381123267,-1.5425444514718383
0,0.3839815480899845,-0.6072378389592503,-0.10538304572993007,-0.8611135863440531,-0.8202875763604408,-0.05052438554289681,-0.2099424928235561,0.8697662761384708,-0.7086513955314697,-1.305804749022524,-0.41538919543500236
1,0.26661663667099583,-1.3180079444219752,1.2291104211154045,2.0479602797961194,0.08289482295045185,-0.05052438554289681,-1.8651291062444608,-0.40784551584685624,1.1026850470566743,-1.6408226028603086,0.464803446417883
1,0.5404680966486387,0.8143023719661996,0.6796131112379138,2.225034341213347,0.2635313028126304,1.7936156867727935,-0.7248894392211678,-0.03111383359477239,0.8640658749791945,-0.055071428028128984,0.5764367897491921
0,1.2837792023022438,-0.70200718635428,-0.968878818394558,-0.949650617052667,-0.5854601525396088,-0.788180414469173,-0.5041978907650492,1.000803383008761,0.7881415929545414,0.9276476098960394,-1.28196687008974
0,-1.9633166802898254,0.34045563499104964,-1.1258780497881269,-0.608150641462299,-0.8925421683053123,-2.632320486784863,-2.1226025794432695,1.0499422980851192,-0.10125713933424792,-1.3281392726117116,-1.1198314514513306
1,0.8143195566262836,1.596149487975198,0.13011580136042364,0.7452011136550852,-0.8744785203190946,0.8715456506149484,1.040642948427797,-0.4406047925644284,0.1482083587467541,1.419007128858124,0.6147614537523749
1,-0.8679108403792486,1.19337976154632,2.5636038879607392,1.9214788073552422,2.846632964841783,-0.05052438554289681,0.930297174199737,-0.811876595363583,1.3304578931306332,-0.680438088525327,2.003019852348718
1,-0.20284300900496793,-1.9103163656409128,0.9151119583282674,0.6693122301905593,-0.40482367267743025,-0.05052438554289681,-0.35707019179430005,0.09992327327551784,0.4627518128488868,-0.4347583290442862,-0.17085364598308056
1,0.3252990923804899,-1.223238597026944,0.9936115740250515,0.9602196168045766,-0.007423416980637424,0.6871316433833793,0.23144060408868625,0.6186118213037488,-0.833384144571971,0.34694999657721104,0.002240669947643303
1,-0.45713365041278015,-0.938930554841855,-0.497881124213852,1.0108122057809272,0.426104134688591,-0.788180414469173,-0.7248894392211678,-0.4788239487349298,-0.3398763114117279,0.6372988032366276,-0.7970488136692613
