State,Year,Abortion_Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor
ND,2022,1,21.09999999999999,40.9,4.6,21.6,16.3,-79.0,6.799999999999997,20.7,26.299999999999997,2463.054187192118
ND,2023,1,20.799999999999997,40.9,4.6,24.1,16.3,-79.0,8.5,17.1,26.299999999999997,2409.6385542168673
NE,2022,1,20.09999999999999,45.8,5.7,23.7,7.2,-74.0,6.099999999999994,25.2,28.0,2463.054187192118
NE,2023,1,19.90000000000001,45.8,6.1,23.7,7.2,-74.0,7.0,19.8,28.0,2487.5621890547263
NH,2022,0,17.700000000000003,46.0,3.2,18.2,0.0,-91.0,6.76666666666668,20.3,26.59999999999999,1540.8320493066255
NH,2023,0,15.799999999999995,46.0,3.2,19.9,0.0,-91.0,5.299999999999997,19.6,27.40000000000001,1453.4883720930234
NJ,2022,0,27.09999999999999,49.6,3.6,26.0,0.0,-85.0,10.099999999999994,20.8,27.0,2197.802197802198
NJ,2023,0,26.5,49.6,3.6,23.9,0.0,-85.0,7.599999999999994,23.9,27.0,2164.5021645021643
NM,2022,0,34.3,49.7,5.3,28.0,3.0,-88.0,12.799999999999995,25.9,37.5,1510.5740181268882
NM,2023,0,32.7,49.7,5.2,28.5,3.0,-88.0,11.900000000000006,25.9,37.5,1510.5740181268882
NV,2022,0,26.700000000000003,55.8,5.2,20.4,3.4,-79.0,15.400000000000006,52.0,36.5,2873.5632183908046
NV,2023,0,26.700000000000003,55.8,5.2,22.7,3.4,-79.0,15.400000000000006,52.0,36.8,2840.9090909090905
NY,2022,0,24.299999999999997,55.9,4.2,22.4,0.2,-85.0,8.799999999999997,25.4,23.200000000000003,1841.620626151013
NY,2023,0,24.299999999999997,55.9,4.1,21.8,0.2,-85.0,8.700000000000003,25.4,23.200000000000003,1798.5611510791366
OH,2022,1,20.5,45.6,7.1,24.5,2.9,-84.0,10.099999999999994,21.8,24.700000000000003,2257.336343115124
OH,2023,1,20.5,45.6,7.1,25.4,2.9,-84.0,10.099999999999994,21.8,24.700000000000003,2178.649237472767
OK,2022,1,22.5,47.7,7.0,29.6,13.5,-85.0,12.549999999999995,34.0,29.799999999999997,3021.1480362537764
OK,2023,1,21.40000000000001,47.7,7.0,27.3,13.5,-85.0,13.099999999999994,34.0,29.09999999999999,2923.9766081871344
OR,2022,0,22.200000000000003,46.9,4.6,16.6,0.1,-87.0,9.150000000000006,17.25,29.200000000000003,1451.3788098693758
OR,2023,0,21.200000000000003,46.9,4.6,18.5,0.1,-87.0,9.099999999999994,16.3,29.200000000000003,1412.4293785310736
PA,2022,0,25.200000000000003,45.3,5.6,17.7,0.4,-82.0,10.599999999999994,22.4,21.200000000000003,2004.008016032064
PA,2023,0,25.5,45.3,5.6,17.7,0.4,-82.0,8.799999999999997,20.1,21.200000000000003,1996.007984031936
RI,2022,0,13.5,49.3,4.3,19.7,0.0,-96.0,3.5999999999999943,25.7,21.09999999999999,1655.6291390728477
RI,2023,0,16.099999999999994,49.3,4.3,19.7,0.0,-96.0,2.9000000000000057,19.6,21.40000000000001,1605.1364365971108
SC,2022,1,22.5,49.5,7.0,32.3,2.5,-80.0,11.400000000000006,37.0,28.700000000000003,2463.054187192118
SC,2023,1,20.5,49.5,6.9,31.5,2.5,-80.0,11.400000000000006,37.0,28.799999999999997,2457.002457002457
SD,2022,1,23.299999999999997,46.2,6.9,28.1,16.3,-73.0,9.900000000000006,25.0,26.09999999999999,2487.5621890547263
SD,2023,1,23.5,46.2,7.1,23.1,16.3,-73.0,10.700000000000005,25.0,26.700000000000003,2421.3075060532688
TN,2022,1,25.700000000000003,51.3,6.6,41.1,6.4,-72.0,9.349999999999994,34.6,26.799999999999997,2577.319587628866
TN,2023,1,26.299999999999997,51.3,6.6,42.1,6.4,-72.0,7.400000000000006,34.6,26.799999999999997,2475.2475247524753
TX,2022,1,30.299999999999997,53.1,5.8,28.2,3.7,-80.0,13.5,53.0,33.8,2624.6719160104985
TX,2023,1,31.200000000000003,53.1,5.8,29.3,3.7,-80.0,13.5,53.0,33.8,2583.9793281653747
UT,2022,1,18.0,51.0,5.1,15.5,0.7,-77.0,9.0,21.0,32.8,1968.503937007874
UT,2023,1,19.200000000000003,51.0,5.1,16.1,0.7,-77.0,7.799999999999997,19.5,32.8,1919.3857965451057
VA,2022,0,20.200000000000003,49.0,6.0,32.7,6.9,-81.0,8.299999999999997,23.9,25.200000000000003,2257.336343115124
VA,2023,0,20.5,49.0,6.0,33.4,6.9,-81.0,8.700000000000003,39.2,25.200000000000003,2207.505518763797
WA,2022,0,29.200000000000003,47.7,4.7,17.3,1.1,-86.0,9.0,22.0,31.59999999999999,1848.4288354898335
WA,2023,0,28.90000000000001,47.7,4.7,17.3,1.1,-86.0,9.0,20.2,31.59999999999999,1808.3182640144664
WI,2022,1,18.0,38.8,5.8,13.2,2.7,-82.0,6.400000000000006,24.7,26.299999999999997,2212.389380530973
WI,2023,1,17.799999999999997,38.8,5.8,16.4,2.7,-82.0,8.599999999999994,20.9,26.299999999999997,2145.9227467811156
WV,2022,1,19.799999999999997,47.0,6.5,23.9,18.6,-81.0,8.099999999999994,17.7,23.90000000000001,2518.8916876574303
WV,2023,1,17.900000000000006,47.0,6.5,24.4,18.6,-81.0,10.0,17.7,23.90000000000001,2439.0243902439024
WY,2022,1,25.200000000000003,47.6,5.5,35.5,5.5,-75.0,5.0,24.2,34.3,2127.659574468085
WY,2023,1,24.5,47.6,4.7,35.5,5.5,-75.0,7.400000000000006,24.2,34.3,2164.5021645021643
