State,Measure,Year,Value
HI,Severe Maternal Morbidity,2022,112.2
HI,Severe Maternal Morbidity,2023,112.2
HI,Smoking During Pregnancy,2018,3.0
HI,Smoking During Pregnancy,2019,2.2
HI,Smoking During Pregnancy,2020,1.9
HI,Smoking During Pregnancy,2021,1.7
HI,Smoking During Pregnancy,2022,1.3
HI,Smoking During Pregnancy,2023,1.0
HI,Unemployment,2018,3.9
HI,Unemployment,2019,3.9
HI,Unemployment,2020,5.8
HI,Unemployment,2021,7.7
HI,Unemployment,2022,3.6
HI,Unemployment,2023,3.5
HI,Uninsured Women,2018,5.3
HI,Uninsured Women,2019,6.6
HI,Uninsured Women,2020,5.65
HI,Uninsured Women,2021,4.7
HI,Uninsured Women,2022,4.8
HI,Uninsured Women,2023,4.2
HI,Unintended Pregnancy,2018,23.0
HI,Unintended Pregnancy,2019,23.0
HI,Unintended Pregnancy,2020,25.8
HI,Unintended Pregnancy,2021,23.0
HI,Unintended Pregnancy,2022,21.4
HI,Unintended Pregnancy,2023,24.2
HI,Voter Participation (Average),2018,54.2
HI,Voter Participation (Average),2019,54.2
HI,Voter Participation (Average),2020,54.2
HI,Voter Participation (Average),2021,57.2
HI,Voter Participation (Average),2022,54.3
HI,Voter Participation (Average),2023,54.3
HI,WIC Coverage,2018,54.5
HI,WIC Coverage,2019,54.5
HI,WIC Coverage,2020,54.5
HI,WIC Coverage,2021,55.4
HI,WIC Coverage,2022,60.9
HI,WIC Coverage,2023,60.9
HI,Well-Woman Visit,2018,77.3
HI,Well-Woman Visit,2019,77.3
HI,Well-Woman Visit,2020,75.1
HI,Well-Woman Visit,2021,75.1
HI,Well-Woman Visit,2022,72.3
HI,Well-Woman Visit,2023,72.3
HI,Women's Health Providers,2018,55.8
HI,Women's Health Providers,2019,55.8
HI,Women's Health Providers,2020,58.3
HI,Women's Health Providers,2021,64.2
HI,Women's Health Providers,2022,60.6
HI,Women's Health Providers,2023,61.4
IA,Adequate Prenatal Care,2018,85.5
IA,Adequate Prenatal Care,2019,85.9
IA,Adequate Prenatal Care,2020,84.1
IA,Adequate Prenatal Care,2021,84.9
IA,Adequate Prenatal Care,2022,84.9
IA,Adequate Prenatal Care,2023,84.1
IA,Avoided Care Due to Cost,2018,7.7
IA,Avoided Care Due to Cost,2019,8.5
IA,Avoided Care Due to Cost,2020,7.25
IA,Avoided Care Due to Cost,2021,6.0
IA,Avoided Care Due to Cost,2022,7.3
IA,Avoided Care Due to Cost,2023,7.3
IA,Cervical Cancer Screening,2018,81.4
IA,Cervical Cancer Screening,2019,74.60000000000001
IA,Cervical Cancer Screening,2020,67.80000000000001
IA,Cervical Cancer Screening,2021,61.0
IA,Cervical Cancer Screening,2022,54.2
IA,Cervical Cancer Screening,2023,54.2
IA,Concentrated Disadvantage,2018,13.3
IA,Concentrated Disadvantage,2019,12.6
IA,Concentrated Disadvantage,2020,12.6
IA,Concentrated Disadvantage,2021,12.6
IA,Concentrated Disadvantage,2022,12.6
IA,Concentrated Disadvantage,2023,12.6
IA,Food Insecurity,2018,6.9
IA,Food Insecurity,2019,7.0
IA,Food Insecurity,2020,8.9
IA,Food Insecurity,2021,8.9
IA,Food Insecurity,2022,8.9
IA,Food Insecurity,2023,9.8
IA,Gender Pay Gap,2018,78.4
IA,Gender Pay Gap,2019,78.1
IA,Gender Pay Gap,2020,78.8
IA,Gender Pay Gap,2021,79.5
IA,Gender Pay Gap,2022,80.4
IA,Gender Pay Gap,2023,81.1
IA,Infant Child Care Affordability,2018,11.7
IA,Infant Child Care Affordability,2019,11.8
IA,Infant Child Care Affordability,2020,11.9
IA,Infant Child Care Affordability,2021,11.7
IA,Infant Child Care Affordability,2022,11.4
IA,Infant Child Care Affordability,2023,10.4
IA,Infant Mortality,2018,5.0
IA,Infant Mortality,2019,5.0
IA,Infant Mortality,2020,4.7
IA,Infant Mortality,2021,4.6
IA,Infant Mortality,2022,5.2
IA,Infant Mortality,2023,5.2
IA,Low Birth Weight,2018,6.9
IA,Low Birth Weight,2019,6.8
IA,Low Birth Weight,2020,6.9
IA,Low Birth Weight,2021,6.8
IA,Low Birth Weight,2022,7.2
IA,Low Birth Weight,2023,7.6
IA,Low-Risk Cesarean Delivery,2018,23.4
IA,Low-Risk Cesarean Delivery,2019,23.6
IA,Low-Risk Cesarean Delivery,2020,24.7
IA,Low-Risk Cesarean Delivery,2021,23.5
IA,Low-Risk Cesarean Delivery,2022,23.0
IA,Low-Risk Cesarean Delivery,2023,24.5
IA,Maternal Mortality,2018,19.5
IA,Maternal Mortality,2019,19.7
IA,Maternal Mortality,2020,19.7
IA,Maternal Mortality,2021,19.7
IA,Maternal Mortality,2022,19.7
IA,Maternal Mortality,2023,19.7
IA,Maternity Care Desert,2018,10.1
IA,Maternity Care Desert,2019,10.1
IA,Maternity Care Desert,2020,10.1
IA,Maternity Care Desert,2021,10.1
IA,Maternity Care Desert,2022,10.1
IA,Maternity Care Desert,2023,10.1
IA,Maternity Practices Score,2018,72.0
IA,Maternity Practices Score,2019,73.5
IA,Maternity Practices Score,2020,75.0
IA,Maternity Practices Score,2021,74.0
IA,Maternity Practices Score,2022,73.0
IA,Maternity Practices Score,2023,73.0
IA,Neonatal Mortality,2018,3.0
IA,Neonatal Mortality,2019,3.0
IA,Neonatal Mortality,2020,2.9
IA,Neonatal Mortality,2021,2.9
IA,Neonatal Mortality,2022,3.2
IA,Neonatal Mortality,2023,3.2
IA,Postpartum Depression,2018,10.2
IA,Postpartum Depression,2019,10.2
IA,Postpartum Depression,2020,7.9
IA,Postpartum Depression,2021,8.733333333333334
IA,Postpartum Depression,2022,9.566666666666666
IA,Postpartum Depression,2023,10.4
IA,Postpartum Visit,2018,93.4
IA,Postpartum Visit,2019,93.4
IA,Postpartum Visit,2020,91.3
IA,Postpartum Visit,2021,91.6
IA,Postpartum Visit,2022,91.9
IA,Postpartum Visit,2023,92.2
IA,Poverty,2018,11.3
IA,Poverty,2019,11.5
IA,Poverty,2020,11.45
IA,Poverty,2021,11.4
IA,Poverty,2022,11.4
IA,Poverty,2023,11.6
IA,Severe Maternal Morbidity,2018,54.3
IA,Severe Maternal Morbidity,2019,56.0
IA,Severe Maternal Morbidity,2020,69.1
IA,Severe Maternal Morbidity,2021,77.9
IA,Severe Maternal Morbidity,2022,69.1
IA,Severe Maternal Morbidity,2023,69.1
IA,Smoking During Pregnancy,2018,11.6
IA,Smoking During Pregnancy,2019,11.0
IA,Smoking During Pregnancy,2020,10.3
IA,Smoking During Pregnancy,2021,8.7
IA,Smoking During Pregnancy,2022,6.7
IA,Smoking During Pregnancy,2023,5.7
IA,Unemployment,2018,3.8
IA,Unemployment,2019,3.7
IA,Unemployment,2020,3.6500000000000004
IA,Unemployment,2021,3.6
IA,Unemployment,2022,2.9
IA,Unemployment,2023,2.8
IA,Uninsured Women,2018,7.0
IA,Uninsured Women,2019,6.3
IA,Uninsured Women,2020,6.15
IA,Uninsured Women,2021,6.0
IA,Uninsured Women,2022,5.5
IA,Uninsured Women,2023,7.2
IA,Unintended Pregnancy,2018,24.1
IA,Unintended Pregnancy,2019,24.1
IA,Unintended Pregnancy,2020,20.4
IA,Unintended Pregnancy,2021,20.4
IA,Unintended Pregnancy,2022,20.4
IA,Unintended Pregnancy,2023,20.4
IA,Voter Participation (Average),2018,65.1
IA,Voter Participation (Average),2019,65.1
IA,Voter Participation (Average),2020,65.1
IA,Voter Participation (Average),2021,61.2
IA,Voter Participation (Average),2022,61.8
IA,Voter Participation (Average),2023,61.8
IA,WIC Coverage,2018,56.0
IA,WIC Coverage,2019,53.1
IA,WIC Coverage,2020,50.2
IA,WIC Coverage,2021,54.0
IA,WIC Coverage,2022,53.6
IA,WIC Coverage,2023,53.6
IA,Well-Woman Visit,2018,78.0
IA,Well-Woman Visit,2019,77.3
IA,Well-Woman Visit,2020,77.3
IA,Well-Woman Visit,2021,76.8
IA,Well-Woman Visit,2022,76.8
IA,Well-Woman Visit,2023,76.5
IA,Women's Health Providers,2018,37.6
IA,Women's Health Providers,2019,37.6
IA,Women's Health Providers,2020,38.6
IA,Women's Health Providers,2021,39.0
IA,Women's Health Providers,2022,36.9
IA,Women's Health Providers,2023,37.7
ID,Adequate Prenatal Care,2018,83.4
ID,Adequate Prenatal Care,2019,84.2
ID,Adequate Prenatal Care,2020,81.8
ID,Adequate Prenatal Care,2021,82.9
ID,Adequate Prenatal Care,2022,81.2
ID,Adequate Prenatal Care,2023,82.8
ID,Avoided Care Due to Cost,2018,15.0
ID,Avoided Care Due to Cost,2019,14.5
ID,Avoided Care Due to Cost,2020,11.85
ID,Avoided Care Due to Cost,2021,9.2
ID,Avoided Care Due to Cost,2022,11.3
ID,Avoided Care Due to Cost,2023,11.3
ID,Cervical Cancer Screening,2018,74.5
ID,Cervical Cancer Screening,2019,68.625
ID,Cervical Cancer Screening,2020,62.75
ID,Cervical Cancer Screening,2021,56.875
ID,Cervical Cancer Screening,2022,51.0
ID,Cervical Cancer Screening,2023,51.0
ID,Concentrated Disadvantage,2018,11.7
ID,Concentrated Disadvantage,2019,7.7
ID,Concentrated Disadvantage,2020,7.7
ID,Concentrated Disadvantage,2021,7.7
ID,Concentrated Disadvantage,2022,7.7
ID,Concentrated Disadvantage,2023,7.7
ID,Food Insecurity,2018,9.6
ID,Food Insecurity,2019,9.8
ID,Food Insecurity,2020,10.5
ID,Food Insecurity,2021,10.5
ID,Food Insecurity,2022,10.5
ID,Food Insecurity,2023,11.3
ID,Gender Pay Gap,2018,77.7
ID,Gender Pay Gap,2019,74.9
ID,Gender Pay Gap,2020,76.65
ID,Gender Pay Gap,2021,78.4
ID,Gender Pay Gap,2022,75.6
ID,Gender Pay Gap,2023,75.7
ID,Infant Child Care Affordability,2018,10.5
ID,Infant Child Care Affordability,2019,11.8
ID,Infant Child Care Affordability,2020,11.4
ID,Infant Child Care Affordability,2021,10.3
ID,Infant Child Care Affordability,2022,10.4
ID,Infant Child Care Affordability,2023,10.8
ID,Infant Mortality,2018,4.7
ID,Infant Mortality,2019,4.7
ID,Infant Mortality,2020,4.7
ID,Infant Mortality,2021,5.1
ID,Infant Mortality,2022,4.8
ID,Infant Mortality,2023,4.8
ID,Low Birth Weight,2018,7.3
ID,Low Birth Weight,2019,6.9
ID,Low Birth Weight,2020,6.9
ID,Low Birth Weight,2021,6.7
ID,Low Birth Weight,2022,7.0
ID,Low Birth Weight,2023,6.9
ID,Low-Risk Cesarean Delivery,2018,18.5
ID,Low-Risk Cesarean Delivery,2019,19.0
ID,Low-Risk Cesarean Delivery,2020,18.0
ID,Low-Risk Cesarean Delivery,2021,19.0
ID,Low-Risk Cesarean Delivery,2022,20.3
ID,Low-Risk Cesarean Delivery,2023,19.8
ID,Maternal Mortality,2018,20.0
ID,Maternal Mortality,2019,20.0
ID,Maternal Mortality,2020,20.0
ID,Maternal Mortality,2021,20.0
ID,Maternal Mortality,2022,20.0
ID,Maternal Mortality,2023,19.9
ID,Maternity Care Desert,2018,3.9
ID,Maternity Care Desert,2019,3.9
ID,Maternity Care Desert,2020,3.9
ID,Maternity Care Desert,2021,3.9
ID,Maternity Care Desert,2022,3.9
ID,Maternity Care Desert,2023,3.9
ID,Maternity Practices Score,2018,75.0
ID,Maternity Practices Score,2019,76.0
ID,Maternity Practices Score,2020,77.0
ID,Maternity Practices Score,2021,77.0
ID,Maternity Practices Score,2022,77.0
ID,Maternity Practices Score,2023,77.0
ID,Neonatal Mortality,2018,3.2
ID,Neonatal Mortality,2019,3.2
ID,Neonatal Mortality,2020,3.1
ID,Neonatal Mortality,2021,3.5
ID,Neonatal Mortality,2022,3.3
ID,Neonatal Mortality,2023,3.3
ID,Postpartum Depression,2018,25.4
ID,Postpartum Depression,2019,25.4
ID,Postpartum Depression,2020,25.4
ID,Postpartum Depression,2021,25.4
ID,Postpartum Depression,2022,25.4
ID,Postpartum Depression,2023,25.4
ID,Postpartum Visit,2018,93.6
ID,Postpartum Visit,2019,93.6
ID,Postpartum Visit,2020,93.6
ID,Postpartum Visit,2021,93.6
ID,Postpartum Visit,2022,93.6
ID,Postpartum Visit,2023,93.6
ID,Poverty,2018,12.0
ID,Poverty,2019,10.9
ID,Poverty,2020,11.0
ID,Poverty,2021,11.1
ID,Poverty,2022,10.8
ID,Poverty,2023,10.1
ID,Severe Maternal Morbidity,2018,9999.0
ID,Severe Maternal Morbidity,2019,9999.0
ID,Severe Maternal Morbidity,2020,9999.0
ID,Severe Maternal Morbidity,2021,9999.0
ID,Severe Maternal Morbidity,2022,9999.0
ID,Severe Maternal Morbidity,2023,9999.0
ID,Smoking During Pregnancy,2018,8.0
ID,Smoking During Pregnancy,2019,7.5
ID,Smoking During Pregnancy,2020,6.6
ID,Smoking During Pregnancy,2021,5.5
ID,Smoking During Pregnancy,2022,3.8
ID,Smoking During Pregnancy,2023,3.0
ID,Unemployment,2018,4.1
ID,Unemployment,2019,3.3
ID,Unemployment,2020,3.3
ID,Unemployment,2021,3.3
ID,Unemployment,2022,3.0
ID,Unemployment,2023,3.6
ID,Uninsured Women,2018,16.7
ID,Uninsured Women,2019,18.3
ID,Uninsured Women,2020,14.55
ID,Uninsured Women,2021,10.8
ID,Uninsured Women,2022,10.7
ID,Uninsured Women,2023,12.1
ID,Unintended Pregnancy,2018,27.6
ID,Unintended Pregnancy,2019,27.6
ID,Unintended Pregnancy,2020,27.6
ID,Unintended Pregnancy,2021,27.6
ID,Unintended Pregnancy,2022,27.6
ID,Unintended Pregnancy,2023,27.6
ID,Voter Participation (Average),2018,56.4
ID,Voter Participation (Average),2019,56.4
ID,Voter Participation (Average),2020,56.6
ID,Voter Participation (Average),2021,56.6
ID,Voter Participation (Average),2022,56.6
ID,Voter Participation (Average),2023,56.8
ID,WIC Coverage,2018,44.3
ID,WIC Coverage,2019,42.05
ID,WIC Coverage,2020,39.8
ID,WIC Coverage,2021,42.9
ID,WIC Coverage,2022,44.3
ID,WIC Coverage,2023,44.3
ID,Well-Woman Visit,2018,66.5
ID,Well-Woman Visit,2019,70.2
ID,Well-Woman Visit,2020,70.2
ID,Well-Woman Visit,2021,72.1
ID,Well-Woman Visit,2022,72.9
ID,Well-Woman Visit,2023,73.1
ID,Women's Health Providers,2018,44.5
ID,Women's Health Providers,2019,44.5
ID,Women's Health Providers,2020,47.1
ID,Women's Health Providers,2021,47.4
ID,Women's Health Providers,2022,46.2
ID,Women's Health Providers,2023,45.8
IL,Adequate Prenatal Care,2018,77.9
IL,Adequate Prenatal Care,2019,78.8
IL,Adequate Prenatal Care,2020,78.4
IL,Adequate Prenatal Care,2021,80.2
IL,Adequate Prenatal Care,2022,78.3
IL,Adequate Prenatal Care,2023,78.1
IL,Avoided Care Due to Cost,2018,11.5
IL,Avoided Care Due to Cost,2019,13.3
IL,Avoided Care Due to Cost,2020,11.55
IL,Avoided Care Due to Cost,2021,9.8
IL,Avoided Care Due to Cost,2022,10.8
IL,Avoided Care Due to Cost,2023,10.6
IL,Cervical Cancer Screening,2018,79.2
IL,Cervical Cancer Screening,2019,70.8
IL,Cervical Cancer Screening,2020,62.400000000000006
IL,Cervical Cancer Screening,2021,54.0
IL,Cervical Cancer Screening,2022,45.6
IL,Cervical Cancer Screening,2023,45.6
IL,Concentrated Disadvantage,2018,24.1
IL,Concentrated Disadvantage,2019,24.1
IL,Concentrated Disadvantage,2020,24.1
IL,Concentrated Disadvantage,2021,24.1
IL,Concentrated Disadvantage,2022,24.1
IL,Concentrated Disadvantage,2023,24.4
IL,Food Insecurity,2018,9.2
IL,Food Insecurity,2019,9.4
IL,Food Insecurity,2020,10.6
IL,Food Insecurity,2021,10.6
IL,Food Insecurity,2022,10.6
IL,Food Insecurity,2023,12.4
IL,Gender Pay Gap,2018,80.7
IL,Gender Pay Gap,2019,78.0
IL,Gender Pay Gap,2020,78.95
IL,Gender Pay Gap,2021,79.9
IL,Gender Pay Gap,2022,80.7
IL,Gender Pay Gap,2023,81.0
IL,Infant Child Care Affordability,2018,14.3
IL,Infant Child Care Affordability,2019,14.0
IL,Infant Child Care Affordability,2020,13.3
IL,Infant Child Care Affordability,2021,14.3
IL,Infant Child Care Affordability,2022,14.1
IL,Infant Child Care Affordability,2023,12.3
IL,Infant Mortality,2018,6.1
IL,Infant Mortality,2019,6.1
IL,Infant Mortality,2020,5.6
IL,Infant Mortality,2021,5.6
IL,Infant Mortality,2022,5.8
IL,Infant Mortality,2023,5.8
IL,Low Birth Weight,2018,8.5
IL,Low Birth Weight,2019,8.4
IL,Low Birth Weight,2020,8.3
IL,Low Birth Weight,2021,8.5
IL,Low Birth Weight,2022,8.7
IL,Low Birth Weight,2023,8.9
IL,Low-Risk Cesarean Delivery,2018,25.2
IL,Low-Risk Cesarean Delivery,2019,24.7
IL,Low-Risk Cesarean Delivery,2020,24.7
IL,Low-Risk Cesarean Delivery,2021,25.3
IL,Low-Risk Cesarean Delivery,2022,24.9
IL,Low-Risk Cesarean Delivery,2023,24.2
IL,Maternal Mortality,2018,18.1
IL,Maternal Mortality,2019,18.1
IL,Maternal Mortality,2020,18.1
IL,Maternal Mortality,2021,18.1
IL,Maternal Mortality,2022,18.1
IL,Maternal Mortality,2023,20.0
IL,Maternity Care Desert,2018,2.8
IL,Maternity Care Desert,2019,2.8
IL,Maternity Care Desert,2020,2.8
IL,Maternity Care Desert,2021,2.8
IL,Maternity Care Desert,2022,2.8
IL,Maternity Care Desert,2023,2.8
IL,Maternity Practices Score,2018,80.0
IL,Maternity Practices Score,2019,81.0
IL,Maternity Practices Score,2020,82.0
IL,Maternity Practices Score,2021,81.0
IL,Maternity Practices Score,2022,80.0
IL,Maternity Practices Score,2023,80.0
IL,Neonatal Mortality,2018,4.2
IL,Neonatal Mortality,2019,4.2
IL,Neonatal Mortality,2020,3.9
IL,Neonatal Mortality,2021,3.8
IL,Neonatal Mortality,2022,4.0
IL,Neonatal Mortality,2023,4.0
IL,Postpartum Depression,2018,9.7
IL,Postpartum Depression,2019,10.8
IL,Postpartum Depression,2020,10.3
IL,Postpartum Depression,2021,11.9
IL,Postpartum Depression,2022,11.9
IL,Postpartum Depression,2023,11.9
IL,Postpartum Visit,2018,93.0
IL,Postpartum Visit,2019,93.9
IL,Postpartum Visit,2020,91.4
IL,Postpartum Visit,2021,93.2
IL,Postpartum Visit,2022,92.9
IL,Postpartum Visit,2023,92.6
IL,Poverty,2018,12.1
IL,Poverty,2019,11.8
IL,Poverty,2020,12.15
IL,Poverty,2021,12.5
IL,Poverty,2022,12.4
IL,Poverty,2023,12.3
IL,Severe Maternal Morbidity,2018,85.2
IL,Severe Maternal Morbidity,2019,89.5
IL,Severe Maternal Morbidity,2020,86.0
IL,Severe Maternal Morbidity,2021,93.1
IL,Severe Maternal Morbidity,2022,92.6
IL,Severe Maternal Morbidity,2023,92.6
IL,Smoking During Pregnancy,2018,6.0
IL,Smoking During Pregnancy,2019,5.3
IL,Smoking During Pregnancy,2020,5.1
IL,Smoking During Pregnancy,2021,4.4
IL,Smoking During Pregnancy,2022,3.6
IL,Smoking During Pregnancy,2023,3.0
IL,Unemployment,2018,5.7
IL,Unemployment,2019,4.8
IL,Unemployment,2020,6.1
IL,Unemployment,2021,7.4
IL,Unemployment,2022,4.8
IL,Unemployment,2023,4.7
IL,Uninsured Women,2018,10.0
IL,Uninsured Women,2019,10.0
IL,Uninsured Women,2020,9.75
IL,Uninsured Women,2021,9.5
IL,Uninsured Women,2022,8.7
IL,Uninsured Women,2023,8.1
IL,Unintended Pregnancy,2018,30.8
IL,Unintended Pregnancy,2019,31.5
IL,Unintended Pregnancy,2020,27.6
IL,Unintended Pregnancy,2021,27.5
IL,Unintended Pregnancy,2022,27.5
IL,Unintended Pregnancy,2023,27.5
IL,Voter Participation (Average),2018,60.7
IL,Voter Participation (Average),2019,60.7
IL,Voter Participation (Average),2020,60.3
IL,Voter Participation (Average),2021,60.3
IL,Voter Participation (Average),2022,60.3
IL,Voter Participation (Average),2023,59.0
IL,WIC Coverage,2018,44.8
IL,WIC Coverage,2019,39.9
IL,WIC Coverage,2020,35.0
IL,WIC Coverage,2021,34.4
IL,WIC Coverage,2022,37.9
IL,WIC Coverage,2023,37.9
IL,Well-Woman Visit,2018,75.7
IL,Well-Woman Visit,2019,75.7
IL,Well-Woman Visit,2020,75.5
IL,Well-Woman Visit,2021,75.6
IL,Well-Woman Visit,2022,76.5
IL,Well-Woman Visit,2023,76.5
IL,Women's Health Providers,2018,51.1
IL,Women's Health Providers,2019,51.1
IL,Women's Health Providers,2020,52.5
IL,Women's Health Providers,2021,53.7
IL,Women's Health Providers,2022,49.3
IL,Women's Health Providers,2023,50.1
IN,Adequate Prenatal Care,2018,78.0
IN,Adequate Prenatal Care,2019,78.5
IN,Adequate Prenatal Care,2020,77.7
IN,Adequate Prenatal Care,2021,80.1
IN,Adequate Prenatal Care,2022,79.2
IN,Adequate Prenatal Care,2023,79.2
IN,Avoided Care Due to Cost,2018,12.2
IN,Avoided Care Due to Cost,2019,12.6
IN,Avoided Care Due to Cost,2020,10.6
IN,Avoided Care Due to Cost,2021,8.6
IN,Avoided Care Due to Cost,2022,9.8
IN,Avoided Care Due to Cost,2023,10.4
IN,Cervical Cancer Screening,2018,81.1
IN,Cervical Cancer Screening,2019,73.94999999999999
IN,Cervical Cancer Screening,2020,66.8
IN,Cervical Cancer Screening,2021,59.65
IN,Cervical Cancer Screening,2022,52.5
IN,Cervical Cancer Screening,2023,52.5
IN,Concentrated Disadvantage,2018,19.5
IN,Concentrated Disadvantage,2019,19.5
IN,Concentrated Disadvantage,2020,19.5
IN,Concentrated Disadvantage,2021,19.5
IN,Concentrated Disadvantage,2022,19.5
IN,Concentrated Disadvantage,2023,19.2
IN,Food Insecurity,2018,11.6
IN,Food Insecurity,2019,11.6
IN,Food Insecurity,2020,11.6
IN,Food Insecurity,2021,12.2
IN,Food Insecurity,2022,12.2
IN,Food Insecurity,2023,12.2
IN,Gender Pay Gap,2018,75.0
IN,Gender Pay Gap,2019,75.8
IN,Gender Pay Gap,2020,77.0
IN,Gender Pay Gap,2021,78.2
IN,Gender Pay Gap,2022,77.1
IN,Gender Pay Gap,2023,78.5
IN,Infant Child Care Affordability,2018,15.2
IN,Infant Child Care Affordability,2019,14.8
IN,Infant Child Care Affordability,2020,12.7
IN,Infant Child Care Affordability,2021,14.5
IN,Infant Child Care Affordability,2022,12.3
IN,Infant Child Care Affordability,2023,11.9
IN,Infant Mortality,2018,6.6
IN,Infant Mortality,2019,6.7
IN,Infant Mortality,2020,6.7
IN,Infant Mortality,2021,6.8
IN,Infant Mortality,2022,6.8
IN,Infant Mortality,2023,6.8
IN,Low Birth Weight,2018,8.1
IN,Low Birth Weight,2019,8.2
IN,Low Birth Weight,2020,8.1
IN,Low Birth Weight,2021,8.4
IN,Low Birth Weight,2022,8.7
IN,Low Birth Weight,2023,8.6
IN,Low-Risk Cesarean Delivery,2018,23.5
IN,Low-Risk Cesarean Delivery,2019,23.0
IN,Low-Risk Cesarean Delivery,2020,24.4
IN,Low-Risk Cesarean Delivery,2021,24.4
IN,Low-Risk Cesarean Delivery,2022,24.6
IN,Low-Risk Cesarean Delivery,2023,25.0
IN,Maternal Mortality,2018,30.9
IN,Maternal Mortality,2019,30.9
IN,Maternal Mortality,2020,30.9
IN,Maternal Mortality,2021,30.9
IN,Maternal Mortality,2022,30.9
IN,Maternal Mortality,2023,31.4
IN,Maternity Care Desert,2018,5.6
IN,Maternity Care Desert,2019,5.6
IN,Maternity Care Desert,2020,5.6
IN,Maternity Care Desert,2021,5.6
IN,Maternity Care Desert,2022,5.6
IN,Maternity Care Desert,2023,5.6
IN,Maternity Practices Score,2018,78.0
IN,Maternity Practices Score,2019,80.5
IN,Maternity Practices Score,2020,83.0
IN,Maternity Practices Score,2021,83.0
IN,Maternity Practices Score,2022,83.0
IN,Maternity Practices Score,2023,83.0
IN,Neonatal Mortality,2018,4.2
IN,Neonatal Mortality,2019,4.2
IN,Neonatal Mortality,2020,4.2
IN,Neonatal Mortality,2021,4.2
IN,Neonatal Mortality,2022,4.4
IN,Neonatal Mortality,2023,4.4
IN,Postpartum Depression,2018,13.1
IN,Postpartum Depression,2019,13.1
IN,Postpartum Depression,2020,13.1
IN,Postpartum Depression,2021,13.1
IN,Postpartum Depression,2022,13.1
IN,Postpartum Depression,2023,13.1
IN,Postpartum Visit,2018,92.5
IN,Postpartum Visit,2019,92.5
IN,Postpartum Visit,2020,92.5
IN,Postpartum Visit,2021,92.5
IN,Postpartum Visit,2022,92.5
IN,Postpartum Visit,2023,92.5
IN,Poverty,2018,12.6
IN,Poverty,2019,11.9
IN,Poverty,2020,12.0
IN,Poverty,2021,12.1
IN,Poverty,2022,12.9
IN,Poverty,2023,12.6
IN,Severe Maternal Morbidity,2018,68.5
IN,Severe Maternal Morbidity,2019,67.5
IN,Severe Maternal Morbidity,2020,77.0
IN,Severe Maternal Morbidity,2021,100.2
IN,Severe Maternal Morbidity,2022,86.3
IN,Severe Maternal Morbidity,2023,86.3
IN,Smoking During Pregnancy,2018,12.6
IN,Smoking During Pregnancy,2019,11.7
IN,Smoking During Pregnancy,2020,10.9
IN,Smoking During Pregnancy,2021,9.0
IN,Smoking During Pregnancy,2022,6.6
IN,Smoking During Pregnancy,2023,5.3
IN,Unemployment,2018,4.5
IN,Unemployment,2019,4.2
IN,Unemployment,2020,4.45
IN,Unemployment,2021,4.7
IN,Unemployment,2022,3.6
IN,Unemployment,2023,3.6
IN,Uninsured Women,2018,11.6
IN,Uninsured Women,2019,11.9
IN,Uninsured Women,2020,10.95
IN,Uninsured Women,2021,10.0
IN,Uninsured Women,2022,9.1
IN,Uninsured Women,2023,8.3
IN,Unintended Pregnancy,2018,7.1
IN,Unintended Pregnancy,2019,7.1
IN,Unintended Pregnancy,2020,7.1
IN,Unintended Pregnancy,2021,7.1
IN,Unintended Pregnancy,2022,7.1
IN,Unintended Pregnancy,2023,7.1
IN,Voter Participation (Average),2018,55.2
IN,Voter Participation (Average),2019,55.2
IN,Voter Participation (Average),2020,51.5
IN,Voter Participation (Average),2021,51.5
IN,Voter Participation (Average),2022,51.5
IN,Voter Participation (Average),2023,51.3
IN,WIC Coverage,2018,56.8
IN,WIC Coverage,2019,55.349999999999994
IN,WIC Coverage,2020,53.9
IN,WIC Coverage,2021,60.6
IN,WIC Coverage,2022,59.3
IN,WIC Coverage,2023,59.3
IN,Well-Woman Visit,2018,75.6
IN,Well-Woman Visit,2019,75.6
IN,Well-Woman Visit,2020,73.8
IN,Well-Woman Visit,2021,74.7
IN,Well-Woman Visit,2022,77.1
IN,Well-Woman Visit,2023,77.1
IN,Women's Health Providers,2018,40.8
IN,Women's Health Providers,2019,40.8
IN,Women's Health Providers,2020,41.5
IN,Women's Health Providers,2021,43.1
IN,Women's Health Providers,2022,40.9
IN,Women's Health Providers,2023,41.4
KS,Adequate Prenatal Care,2018,83.8
KS,Adequate Prenatal Care,2019,84.2
KS,Adequate Prenatal Care,2020,83.5
KS,Adequate Prenatal Care,2021,84.3
KS,Adequate Prenatal Care,2022,83.2
KS,Adequate Prenatal Care,2023,83.3
KS,Avoided Care Due to Cost,2018,12.1
KS,Avoided Care Due to Cost,2019,13.1
KS,Avoided Care Due to Cost,2020,11.5
KS,Avoided Care Due to Cost,2021,9.9
KS,Avoided Care Due to Cost,2022,10.8
KS,Avoided Care Due to Cost,2023,10.9
KS,Cervical Cancer Screening,2018,79.3
KS,Cervical Cancer Screening,2019,73.875
KS,Cervical Cancer Screening,2020,68.45
KS,Cervical Cancer Screening,2021,63.025
KS,Cervical Cancer Screening,2022,57.6
KS,Cervical Cancer Screening,2023,57.6
KS,Concentrated Disadvantage,2018,14.3
KS,Concentrated Disadvantage,2019,14.9
KS,Concentrated Disadvantage,2020,14.9
