State,Measure,Year,Value
AL,Adequate Prenatal Care,2020,72.6
AL,Adequate Prenatal Care,2021,74.3
AL,Adequate Prenatal Care,2022,73.9
AL,Adequate Prenatal Care,2023,74.3
AL,Avoided Care Due to Cost,2018,16.2
AL,Avoided Care Due to Cost,2019,18.1
AL,Avoided Care Due to Cost,2020,14.600000000000001
AL,Avoided Care Due to Cost,2021,11.1
AL,Avoided Care Due to Cost,2022,14.2
AL,Avoided Care Due to Cost,2023,13.5
AL,Cervical Cancer Screening,2018,81.5
AL,Cervical Cancer Screening,2019,74.025
AL,Cervical Cancer Screening,2020,66.55
AL,Cervical Cancer Screening,2021,59.075
AL,Cervical Cancer Screening,2022,51.6
AL,Cervical Cancer Screening,2023,51.6
AL,Concentrated Disadvantage,2018,30.2
AL,Concentrated Disadvantage,2019,32.3
AL,Concentrated Disadvantage,2020,32.3
AL,Concentrated Disadvantage,2021,32.3
AL,Concentrated Disadvantage,2022,32.3
AL,Concentrated Disadvantage,2023,32.3
AL,Food Insecurity,2018,14.0
AL,Food Insecurity,2019,13.1
AL,Food Insecurity,2020,13.1
AL,Food Insecurity,2021,13.1
AL,Food Insecurity,2022,12.4
AL,Food Insecurity,2023,11.5
AL,Gender Pay Gap,2018,72.4
AL,Gender Pay Gap,2019,74.5
AL,Gender Pay Gap,2020,75.0
AL,Gender Pay Gap,2021,75.5
AL,Gender Pay Gap,2022,75.0
AL,Gender Pay Gap,2023,73.9
AL,Infant Child Care Affordability,2018,7.6
AL,Infant Child Care Affordability,2019,9.1
AL,Infant Child Care Affordability,2020,9.0
AL,Infant Child Care Affordability,2021,8.9
AL,Infant Child Care Affordability,2022,8.6
AL,Infant Child Care Affordability,2023,8.1
AL,Infant Mortality,2018,7.3
AL,Infant Mortality,2019,7.3
AL,Infant Mortality,2020,7.3
AL,Infant Mortality,2021,7.3
AL,Infant Mortality,2022,7.2
AL,Infant Mortality,2023,7.2
AL,Low Birth Weight,2018,10.7
AL,Low Birth Weight,2019,10.5
AL,Low Birth Weight,2020,10.8
AL,Low Birth Weight,2021,10.4
AL,Low Birth Weight,2022,10.4
AL,Low Birth Weight,2023,10.4
AL,Low-Risk Cesarean Delivery,2018,28.6
AL,Low-Risk Cesarean Delivery,2019,28.4
AL,Low-Risk Cesarean Delivery,2020,29.0
AL,Low-Risk Cesarean Delivery,2021,29.7
AL,Low-Risk Cesarean Delivery,2022,28.3
AL,Low-Risk Cesarean Delivery,2023,28.3
AL,Maternal Mortality,2018,38.6
AL,Maternal Mortality,2019,38.6
AL,Maternal Mortality,2020,38.6
AL,Maternal Mortality,2021,38.6
AL,Maternal Mortality,2022,38.6
AL,Maternal Mortality,2023,35.1
AL,Maternity Care Desert,2018,8.4
AL,Maternity Care Desert,2019,8.4
AL,Maternity Care Desert,2020,8.4
AL,Maternity Care Desert,2021,8.4
AL,Maternity Care Desert,2022,8.4
AL,Maternity Care Desert,2023,8.4
AL,Maternity Practices Score,2018,78.0
AL,Maternity Practices Score,2019,77.0
AL,Maternity Practices Score,2020,76.0
AL,Maternity Practices Score,2021,74.5
AL,Maternity Practices Score,2022,73.0
AL,Maternity Practices Score,2023,73.0
AL,Neonatal Mortality,2018,4.3
AL,Neonatal Mortality,2019,4.3
AL,Neonatal Mortality,2020,4.0
AL,Neonatal Mortality,2021,4.0
AL,Neonatal Mortality,2022,4.2
AL,Neonatal Mortality,2023,4.2
AL,Postpartum Depression,2018,23.5
AL,Postpartum Depression,2019,23.5
AL,Postpartum Depression,2020,20.8
AL,Postpartum Depression,2021,18.7
AL,Postpartum Depression,2022,16.2
AL,Postpartum Depression,2023,15.8
AL,Postpartum Visit,2018,92.8
AL,Postpartum Visit,2019,92.8
AL,Postpartum Visit,2020,91.1
AL,Postpartum Visit,2021,92.2
AL,Postpartum Visit,2022,90.1
AL,Postpartum Visit,2023,92.3
AL,Poverty,2018,16.9
AL,Poverty,2019,15.9
AL,Poverty,2020,16.0
AL,Poverty,2021,16.1
AL,Poverty,2022,16.9
AL,Poverty,2023,16.0
AL,Severe Maternal Morbidity,2018,9999.0
AL,Severe Maternal Morbidity,2019,9999.0
AL,Severe Maternal Morbidity,2020,9999.0
AL,Severe Maternal Morbidity,2021,9999.0
AL,Severe Maternal Morbidity,2022,9999.0
AL,Severe Maternal Morbidity,2023,9999.0
AL,Smoking During Pregnancy,2018,8.7
AL,Smoking During Pregnancy,2019,8.1
AL,Smoking During Pregnancy,2020,7.6
AL,Smoking During Pregnancy,2021,6.1
AL,Smoking During Pregnancy,2022,4.8
