State,Year,Inadequate Prenatal Care,Avoided Care Due to Cost,No Cancer Screen,Concentrated Disadvantage,Food Insecurity,Gender Pay Gap,Infant Child Care Affordability,Infant Mortality,Low Birth Weight,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,Neonatal Mortality,Postpartum Depression,No Postpartum Visit,Poverty,Severe Maternal Morbidity,Smoking During Pregnancy,Unemployment,Uninsured Women,Unintended Pregnancy,Voter Abstainment,WIC Shortfall,No Preventative,Patients Per Doctor
MD,2019,25.700000000000003,10.9,27.625,21.9,9.2,11.799999999999997,12.6,5.8,8.7,21.4,0.4,-81.0,4.0,15.6,7.700000000000003,9.0,79.3,4.7,4.5,8.7,31.2,36.1,40.15,22.700000000000003,1754.3859649122808
MD,2020,28.599999999999994,9.8,34.55,21.9,9.5,13.099999999999994,12.4,5.8,8.5,21.4,0.4,-83.0,4.0,14.3,9.700000000000003,9.7,90.8,4.2,5.2,8.2,27.9,36.1,42.6,24.700000000000003,1712.3287671232877
MD,2021,26.599999999999994,8.7,41.475,21.9,9.5,14.400000000000006,12.3,5.9,8.9,21.4,0.4,-82.5,4.1,14.233333333333334,8.833333333333314,10.4,100.3,3.3,5.9,7.7,27.9,34.2,46.3,26.5,1675.041876046901
MD,2022,27.0,8.8,48.4,21.9,9.5,14.900000000000006,13.2,5.8,8.7,21.4,0.4,-82.0,3.9,14.166666666666666,7.966666666666683,10.0,103.2,2.7,4.0,7.9,27.9,35.5,43.4,23.299999999999997,1785.7142857142858
MD,2023,25.5,9.6,48.4,21.6,10.4,14.0,12.6,5.8,8.6,21.4,0.4,-82.0,3.9,14.1,7.099999999999994,10.0,103.2,2.3,4.0,8.7,27.9,35.5,43.4,23.299999999999997,1757.469244288225
MI,2018,19.099999999999994,11.8,15.400000000000006,23.5,11.8,21.299999999999997,12.3,6.3,8.5,19.1,1.2,-77.0,4.2,16.4,10.900000000000006,13.4,76.2,10.6,5.4,7.2,30.9,36.8,38.6,22.799999999999997,1814.8820326678765
MI,2019,19.299999999999997,11.7,22.200000000000003,23.5,11.8,22.200000000000003,11.5,6.3,8.7,18.7,1.2,-77.5,4.2,14.8,11.299999999999997,12.6,78.3,10.4,5.0,7.8,29.0,36.8,40.65,22.799999999999997,1814.8820326678765
MI,2020,22.0,9.8,29.0,23.5,11.9,22.200000000000003,11.6,6.5,8.9,18.7,1.2,-78.0,4.3,16.1,13.599999999999994,12.85,89.9,9.8,5.95,6.9,28.5,34.900000000000006,42.7,23.700000000000003,1745.2006980802794
MI,2021,20.799999999999997,7.9,35.80000000000001,23.5,11.9,22.200000000000003,13.4,6.3,9.2,18.7,1.2,-79.0,4.0,16.5,12.5,13.1,102.2,8.3,6.9,6.0,23.9,34.900000000000006,40.9,24.200000000000003,1736.111111111111
MI,2022,22.200000000000003,7.9,42.6,23.5,11.9,19.099999999999994,13.5,6.3,9.2,18.7,1.2,-80.0,4.0,14.3,9.799999999999997,13.3,94.9,6.6,4.6,6.0,24.8,34.900000000000006,38.4,21.200000000000003,1811.5942028985505
MI,2023,22.400000000000006,9.2,42.6,23.5,13.0,18.200000000000003,11.5,6.3,8.9,18.7,1.2,-80.0,3.9,11.6,10.5,13.8,94.9,5.3,4.5,5.7,21.4,32.2,38.4,21.200000000000003,1769.9115044247787
MN,2018,19.099999999999994,10.0,17.400000000000006,10.2,7.0,17.599999999999994,15.5,4.8,6.9,12.3,2.3,-82.0,3.2,10.6,7.799999999999997,9.5,84.1,7.5,3.5,5.2,25.5,29.5,36.1,25.299999999999997,1821.4936247723133
MN,2019,18.799999999999997,10.0,25.275000000000006,10.2,7.4,18.5,15.3,4.8,6.9,12.3,2.3,-81.5,3.0,10.9,6.599999999999994,9.0,87.5,7.1,3.2,6.8,22.5,29.5,38.15,27.200000000000003,1821.4936247723133
MN,2020,24.299999999999997,8.3,33.150000000000006,10.2,7.4,18.650000000000006,14.6,4.5,6.7,12.3,2.3,-81.0,3.0,13.8,14.099999999999994,9.3,95.1,6.7,4.050000000000001,6.4,19.4,29.5,40.2,27.200000000000003,1724.1379310344828
MN,2021,20.099999999999994,6.6,41.025,10.2,7.4,18.799999999999997,14.8,4.7,7.2,12.3,2.3,-81.0,3.1,11.3,7.799999999999997,9.6,110.3,5.6,4.9,6.0,20.3,29.200000000000003,39.3,30.0,1694.915254237288
MN,2022,19.799999999999997,7.6,48.9,10.2,7.1,16.900000000000006,14.3,4.7,7.2,12.3,2.3,-81.0,3.1,10.75,7.450000000000003,10.2,112.9,4.5,3.2,5.9,20.65,29.200000000000003,35.5,28.099999999999994,1776.1989342806396
MN,2023,19.599999999999994,8.6,48.9,10.0,9.1,14.799999999999997,13.7,4.6,7.2,14.1,2.3,-81.0,2.9,10.2,7.099999999999994,9.8,112.9,3.5,3.0,5.5,21.0,30.200000000000003,35.5,28.099999999999994,1721.170395869191
MO,2018,22.200000000000003,13.3,19.700000000000003,18.4,11.5,22.200000000000003,12.0,6.2,8.7,23.8,8.7,-75.0,3.9,13.7,12.5,13.0,80.1,13.7,4.3,13.4,40.8,39.1,50.9,27.200000000000003,2277.904328018223
MO,2019,22.599999999999994,14.3,26.599999999999994,17.2,12.0,20.0,11.6,6.2,8.8,25.4,8.7,-77.0,3.9,14.6,11.400000000000006,13.2,83.2,12.8,3.8,14.8,33.4,39.1,56.45,27.200000000000003,2277.904328018223
MO,2020,23.5,12.65,33.5,17.2,12.0,20.25,11.0,6.0,8.7,25.4,8.7,-79.0,3.8,13.3,14.900000000000006,13.1,89.4,12.0,4.199999999999999,14.25,28.2,39.1,62.0,27.5,2164.5021645021643
MO,2021,20.5,11.0,40.4,17.2,12.0,20.5,10.8,6.3,8.9,25.4,8.7,-79.5,3.7,11.9,10.599999999999994,13.0,102.5,10.1,4.6,13.7,29.5,40.1,62.4,27.599999999999994,2132.1961620469083
MO,2022,21.799999999999997,11.3,47.3,17.2,12.2,21.0,11.1,6.3,9.1,25.4,8.7,-80.0,3.9,15.6,10.700000000000003,13.6,95.1,8.0,3.7,11.6,31.9,38.8,61.6,26.0,2364.066193853428
MO,2023,22.0,11.5,47.3,17.2,12.7,20.0,10.8,6.5,8.9,25.4,8.7,-80.0,3.9,13.9,10.900000000000006,12.5,95.1,6.7,3.4,10.4,22.4,38.8,61.6,26.0,2331.002331002331
MS,2018,19.099999999999994,17.6,13.099999999999994,43.9,15.3,25.200000000000003,7.3,8.6,12.1,39.1,20.7,-73.0,5.2,23.5,11.700000000000003,19.5,74.7,8.9,7.4,19.2,44.6,37.7,41.3,25.200000000000003,3115.264797507788
MS,2019,19.200000000000003,17.2,23.049999999999997,43.9,15.3,22.599999999999994,7.6,8.6,12.3,39.7,20.7,-78.0,5.2,22.1,11.0,18.9,72.4,8.5,6.6,20.9,47.1,37.7,47.15,23.599999999999994,3115.264797507788
MS,2020,20.099999999999994,15.15,33.0,43.9,15.3,22.44999999999999,7.4,8.8,11.8,39.7,20.7,-83.0,5.0,21.7,13.099999999999994,19.05,69.9,7.8,6.5,19.65,38.3,41.6,53.0,23.599999999999994,3095.9752321981427
MS,2021,21.599999999999994,13.1,42.95,43.9,15.3,22.299999999999997,7.3,8.8,12.3,39.7,20.7,-82.5,5.2,20.8,11.900000000000006,19.2,94.2,6.8,6.4,18.4,41.2,41.6,53.3,24.0,3115.264797507788
MS,2022,19.099999999999994,14.2,52.9,43.9,15.3,22.900000000000006,8.6,9.0,12.7,39.7,20.7,-82.0,5.2,18.950000000000003,11.900000000000006,19.6,73.7,5.1,4.9,16.4,38.900000000000006,41.6,54.0,24.0,3164.5569620253164
MS,2023,19.099999999999994,14.1,52.9,44.2,16.2,22.400000000000006,8.2,9.0,12.5,39.7,20.7,-82.0,5.3,17.1,11.900000000000006,19.5,73.7,3.7,4.8,15.7,36.6,42.3,54.0,21.799999999999997,3154.5741324921137
MT,2018,24.599999999999994,10.1,21.900000000000006,10.3,10.4,23.900000000000006,12.0,4.8,7.4,30.5,7.3,-86.0,2.8,15.6,9.700000000000003,13.5,38.6,14.3,3.5,10.0,29.7,31.299999999999997,57.1,28.599999999999994,1862.1973929236499
MT,2019,23.0,10.3,27.400000000000006,10.3,10.4,22.700000000000003,11.866666666666667,4.9,7.3,30.5,7.3,-83.5,2.8,15.6,9.700000000000003,12.7,52.8,13.2,4.1,10.4,29.7,31.299999999999997,60.7,28.599999999999994,1862.1973929236499
MT,2020,23.099999999999994,9.05,32.900000000000006,10.3,10.4,24.05000000000001,11.733333333333333,4.9,7.7,30.5,7.3,-81.0,2.8,14.9,10.200000000000003,12.25,73.8,11.8,4.05,10.45,23.4,35.0,64.3,30.599999999999994,1779.3594306049822
MT,2021,20.900000000000006,7.8,38.4,10.3,10.4,25.400000000000006,11.6,5.0,7.6,30.5,7.3,-83.5,2.9,13.2,8.900000000000006,11.8,77.7,10.7,4.0,10.5,26.0,35.0,56.4,28.200000000000003,1766.7844522968198
MT,2022,20.700000000000003,9.3,43.9,10.3,10.6,19.0,12.8,4.8,7.6,30.5,7.3,-86.0,2.9,12.5,8.5,12.4,79.8,8.6,3.0,11.1,23.5,35.0,52.7,29.900000000000006,1805.0541516245487
MT,2023,21.200000000000003,9.7,43.9,8.8,10.6,23.599999999999994,11.9,5.1,7.7,32.5,7.3,-86.0,3.3,11.3,7.400000000000006,12.2,79.8,7.7,2.7,11.0,23.5,37.1,52.7,29.900000000000006,1811.5942028985505
NC,2018,22.400000000000006,15.1,17.299999999999997,27.2,12.1,17.700000000000003,11.6,6.8,9.2,26.7,2.7,-77.0,4.4,11.7,7.200000000000003,13.3,74.0,8.4,5.1,16.0,26.6,41.4,47.3,23.200000000000003,2197.802197802198
NC,2019,22.799999999999997,15.9,22.924999999999997,27.2,12.1,16.900000000000006,11.2,6.8,9.3,26.7,2.7,-80.5,4.4,10.7,8.400000000000006,13.3,76.9,7.6,4.6,16.6,30.9,41.4,46.349999999999994,24.099999999999994,2197.802197802198
NC,2020,24.0,13.25,28.549999999999997,27.2,12.1,17.349999999999994,11.1,6.8,9.5,26.7,2.7,-84.0,4.4,10.7,8.400000000000006,13.35,85.7,6.8,5.199999999999999,15.65,30.9,41.4,45.4,24.099999999999994,2127.659574468085
NC,2021,23.0,10.6,34.175,27.2,10.9,17.799999999999997,12.1,6.8,9.4,26.7,2.7,-83.0,4.4,10.7,8.400000000000006,13.4,101.0,5.6,5.8,14.7,30.9,44.8,38.3,24.099999999999994,2074.688796680498
NC,2022,24.0,11.9,39.8,27.2,10.9,16.099999999999994,11.8,6.8,9.4,26.7,2.7,-82.0,4.5,10.7,8.400000000000006,12.9,90.4,4.5,3.8,12.9,30.9,44.8,36.2,25.099999999999994,2141.327623126338
NC,2023,22.5,10.7,39.8,27.4,10.9,15.700000000000003,11.6,6.9,9.4,29.8,2.7,-82.0,4.5,10.7,8.400000000000006,12.8,90.4,3.6,4.0,12.2,30.9,44.8,36.2,25.099999999999994,2114.1649048625795
ND,2018,19.599999999999994,9.3,21.700000000000003,5.9,7.9,27.700000000000003,9.4,6.5,6.6,21.6,16.3,-73.0,4.0,11.7,9.0,11.5,47.2,11.4,2.9,9.4,29.2,35.5,48.5,28.799999999999997,2500.0
ND,2019,21.299999999999997,9.2,26.5,5.9,7.9,25.0,9.3,6.5,6.8,21.6,16.3,-75.0,4.0,16.1,10.700000000000003,11.4,57.1,10.6,2.6,8.1,26.5,35.5,52.7,28.799999999999997,2500.0
ND,2020,22.200000000000003,7.899999999999999,31.299999999999997,5.9,7.9,23.549999999999997,9.0,6.5,6.9,21.6,16.3,-77.0,4.1,14.5,10.700000000000003,11.55,61.6,9.7,2.75,7.65,20.4,35.5,56.9,30.400000000000006,2398.0815347721823
ND,2021,19.599999999999994,6.6,36.1,5.9,8.6,22.099999999999994,9.1,4.1,6.6,21.6,16.3,-78.0,2.8,13.2,7.599999999999994,11.7,63.7,8.5,2.9,7.2,23.7,40.4,47.6,29.200000000000003,2364.066193853428
ND,2022,21.099999999999994,8.7,40.9,5.9,8.6,22.700000000000003,9.3,4.6,7.1,21.6,16.3,-79.0,3.0,10.5,6.799999999999997,11.7,62.8,7.4,2.2,7.7,20.7,38.4,45.3,26.299999999999997,2463.054187192118
ND,2023,20.799999999999997,8.3,40.9,7.4,8.6,24.599999999999994,8.7,4.6,7.1,24.1,16.3,-79.0,3.0,15.6,8.5,11.1,62.8,5.9,2.9,5.4,17.1,38.4,45.3,26.299999999999997,2409.6385542168673
NE,2018,21.5,11.8,18.0,11.6,10.5,20.200000000000003,14.4,5.4,7.6,25.1,7.2,-71.0,3.5,12.1,8.700000000000003,10.9,52.6,8.7,3.6,13.1,31.3,42.0,46.0,28.0,2314.814814814815
NE,2019,20.0,12.6,24.950000000000003,12.0,10.6,19.900000000000006,13.8,5.4,7.6,23.7,7.2,-72.0,3.5,12.3,7.599999999999994,10.5,65.2,8.4,3.3,11.3,25.9,42.0,46.5,28.0,2314.814814814815
NE,2020,22.0,10.85,31.900000000000006,12.0,12.1,20.700000000000003,12.9,5.6,7.4,23.7,7.2,-73.0,3.3,12.1,11.700000000000003,10.9,63.0,7.5,3.0,10.4,23.1,42.0,47.0,29.5,2212.389380530973
NE,2021,19.900000000000006,9.1,38.849999999999994,12.0,12.1,21.5,12.4,5.7,7.6,23.7,7.2,-73.5,3.7,12.0,9.0,11.3,60.1,6.5,2.7,9.5,28.1,43.0,42.1,30.0,2136.7521367521367
NE,2022,20.099999999999994,10.2,45.8,12.0,12.1,18.299999999999997,16.8,5.7,7.9,23.7,7.2,-74.0,3.7,12.8,6.099999999999994,11.7,61.3,5.1,2.3,9.4,25.2,41.9,37.1,28.0,2463.054187192118
NE,2023,19.900000000000006,8.8,45.8,12.0,12.9,17.299999999999997,11.5,6.1,8.0,23.7,7.2,-74.0,4.0,11.3,7.0,11.5,61.3,4.1,2.7,8.2,19.8,41.9,37.1,28.0,2487.5621890547263
NH,2018,15.299999999999997,10.6,16.700000000000003,3.0,5.7,25.900000000000006,12.0,3.4,6.8,18.2,0.0,-90.0,2.3,11.2,9.200000000000003,8.0,67.9,10.1,3.7,7.5,20.8,34.900000000000006,55.9,24.0,1564.9452269170579
NH,2019,13.400000000000006,11.4,24.025000000000006,3.9,5.7,18.400000000000006,12.0,3.4,6.4,18.2,0.0,-90.0,2.3,11.2,9.200000000000003,8.1,67.9,8.8,3.0,9.4,20.8,34.900000000000006,55.45,24.700000000000003,1564.9452269170579
NH,2020,21.200000000000003,9.15,31.349999999999994,3.9,6.2,21.400000000000006,11.7,3.8,6.8,18.2,0.0,-90.0,2.8,12.2,9.700000000000003,7.85,67.9,7.6,3.3,8.45,21.7,34.900000000000006,55.0,26.599999999999994,1515.1515151515152
NH,2021,19.700000000000003,6.9,38.675,3.9,6.2,24.400000000000006,11.4,3.7,7.0,18.2,0.0,-90.5,2.5,11.966666666666669,8.23333333333332,7.6,92.4,6.0,3.6,7.5,21.0,33.400000000000006,47.0,26.599999999999994,1499.2503748125937
NH,2022,17.700000000000003,7.7,46.0,3.9,6.2,24.700000000000003,11.5,3.2,6.7,18.2,0.0,-91.0,2.0,11.733333333333333,6.76666666666668,8.0,79.6,4.6,2.5,6.2,20.3,34.5,49.7,26.599999999999994,1540.8320493066255
NH,2023,15.799999999999997,7.7,46.0,3.9,7.4,24.299999999999997,11.6,3.2,6.8,19.9,0.0,-91.0,2.0,11.5,5.299999999999997,8.3,79.6,3.5,2.6,7.0,19.6,34.5,49.7,27.400000000000006,1453.4883720930234
NJ,2018,26.5,13.1,21.700000000000003,22.6,8.4,21.400000000000006,10.7,4.0,7.9,26.0,0.0,-80.0,2.7,11.2,10.5,9.6,81.3,3.2,5.0,10.9,25.4,33.8,44.8,26.299999999999997,2024.2914979757086
NJ,2019,25.900000000000006,11.766666666666666,28.674999999999997,22.6,8.4,19.900000000000006,12.6,4.0,7.9,26.0,0.0,-81.0,2.7,10.4,10.5,9.4,80.7,2.8,4.7,11.4,25.6,33.8,48.349999999999994,26.299999999999997,2024.2914979757086
NJ,2020,27.5,10.433333333333334,35.650000000000006,22.6,8.8,19.150000000000006,12.7,3.8,7.7,26.0,0.0,-82.0,2.7,12.3,15.099999999999994,9.95,88.4,2.5,6.4,10.9,23.5,35.599999999999994,51.9,26.299999999999997,1953.125
NJ,2021,26.099999999999994,9.1,42.625,22.6,8.8,18.400000000000006,12.3,3.8,7.7,26.0,0.0,-83.5,2.5,10.6,9.599999999999994,10.5,91.5,1.9,8.1,10.4,20.7,35.599999999999994,50.6,26.799999999999997,1915.7088122605362
NJ,2022,27.099999999999994,10.7,49.6,22.6,8.8,17.0,12.7,3.6,7.8,26.0,0.0,-85.0,2.5,9.0,10.099999999999994,10.4,84.6,1.4,5.0,10.0,20.8,35.599999999999994,48.3,27.0,2197.802197802198
NJ,2023,26.5,10.8,49.6,22.9,9.8,17.400000000000006,12.1,3.6,7.8,23.9,0.0,-85.0,2.5,8.3,7.599999999999994,10.2,84.6,1.1,4.7,9.7,23.9,38.5,48.3,27.0,2164.5021645021643
NM,2018,31.0,13.0,20.700000000000003,47.0,13.4,16.599999999999994,12.0,5.7,9.0,28.0,3.0,-82.0,4.0,15.3,12.5,19.0,74.0,5.8,6.3,13.5,31.1,44.6,58.6,31.799999999999997,1483.6795252225518
NM,2019,34.599999999999994,13.9,27.950000000000003,46.6,13.4,22.599999999999994,12.5,5.5,9.3,28.0,3.0,-82.0,3.7,14.1,12.5,17.1,80.0,5.3,5.5,13.8,26.7,44.6,59.85,34.400000000000006,1483.6795252225518
NM,2020,34.2,11.2,35.2,46.6,13.4,19.099999999999994,12.3,5.5,8.9,28.0,3.0,-82.0,3.7,14.4,13.799999999999997,17.450000000000003,96.1,5.0,6.65,13.65,31.5,41.6,61.1,34.400000000000006,1453.4883720930234
NM,2021,32.2,8.5,42.45,46.6,12.9,15.599999999999994,12.2,5.3,9.4,28.0,3.0,-85.0,3.1,12.4,12.200000000000003,17.8,100.8,4.3,7.8,13.5,26.5,41.6,66.9,38.5,1434.7202295552368
NM,2022,34.3,10.1,49.7,46.6,12.9,14.5,14.7,5.3,9.9,28.0,3.0,-88.0,3.1,12.4,12.799999999999997,17.2,112.8,3.7,4.8,10.9,25.9,41.6,63.0,37.5,1510.5740181268882
NM,2023,32.7,10.7,49.7,46.6,12.9,17.599999999999994,13.8,5.2,9.7,28.5,3.0,-88.0,3.1,13.7,11.900000000000006,17.2,112.8,3.2,4.8,12.2,25.9,39.9,63.0,37.5,1510.5740181268882
NV,2018,25.799999999999997,14.5,19.900000000000006,33.8,11.9,14.400000000000006,15.0,5.9,8.7,20.4,3.4,-77.0,3.5,11.6,15.400000000000006,12.9,65.2,4.2,5.6,15.9,52.0,44.9,48.9,34.900000000000006,2770.083102493075
NV,2019,26.400000000000006,15.1,28.875,33.8,11.9,12.799999999999997,14.2,5.9,8.8,20.4,3.4,-74.5,3.1,11.6,15.400000000000006,12.6,84.4,3.5,5.1,15.9,52.0,44.9,50.75,36.5,2770.083102493075
NV,2020,23.700000000000003,13.9,37.85,33.8,11.9,13.699999999999989,13.5,5.2,9.0,20.4,3.4,-72.0,3.1,11.6,15.400000000000006,13.2,89.1,3.6,7.399999999999999,15.85,52.0,43.8,52.6,35.8,2666.6666666666665
NV,2021,25.200000000000003,12.7,46.825,33.8,12.5,14.599999999999994,13.1,5.2,9.7,20.4,3.4,-75.5,3.1,11.6,15.400000000000006,13.8,89.1,3.3,9.7,15.8,52.0,43.8,52.7,35.8,2673.7967914438505
NV,2022,26.700000000000003,15.0,55.8,33.8,12.5,13.400000000000006,15.0,5.2,9.3,20.4,3.4,-79.0,3.0,11.6,15.400000000000006,12.4,89.1,2.7,5.5,14.6,52.0,43.8,54.3,36.5,2873.5632183908046
NV,2023,26.700000000000003,15.2,55.8,33.6,12.5,14.700000000000003,14.0,5.2,9.5,22.7,3.4,-79.0,3.0,11.6,15.400000000000006,11.9,89.1,2.3,4.6,15.2,52.0,41.1,54.3,36.8,2840.9090909090905
NY,2018,23.700000000000003,11.0,21.299999999999997,30.6,10.5,13.0,15.3,4.3,8.1,22.4,0.2,-82.0,2.9,15.5,11.700000000000003,13.6,88.5,4.3,5.1,7.2,25.4,42.9,42.2,21.0,1730.1038062283737
NY,2019,23.0,11.5,29.950000000000003,30.6,10.5,14.5,14.7,4.2,8.1,22.4,0.2,-82.5,2.8,12.9,9.400000000000006,13.3,92.2,4.0,4.4,6.8,24.0,42.9,45.95,21.700000000000003,1730.1038062283737
NY,2020,24.799999999999997,9.75,38.599999999999994,30.6,11.3,13.150000000000006,12.6,4.2,8.2,22.4,0.2,-83.0,2.8,10.1,13.900000000000006,13.75,112.1,3.7,6.55,6.6,22.2,43.1,49.7,21.700000000000003,1663.8935108153078
NY,2021,23.599999999999994,8.0,47.25,30.6,11.3,11.799999999999997,15.0,4.2,8.4,22.4,0.2,-84.0,2.6,11.05,11.349999999999994,14.2,118.7,3.0,8.7,6.4,23.8,43.1,48.0,22.900000000000006,1628.6644951140065
NY,2022,24.299999999999997,9.8,55.9,30.6,11.3,12.5,16.2,4.2,8.6,22.4,0.2,-85.0,2.6,12.0,8.799999999999997,14.6,123.9,2.4,5.1,6.1,25.4,43.1,41.9,23.200000000000003,1841.620626151013
NY,2023,24.299999999999997,9.7,55.9,31.2,12.3,12.700000000000003,17.9,4.1,8.6,21.8,0.2,-85.0,2.6,11.0,8.700000000000003,14.5,123.9,2.0,5.0,6.1,25.4,45.8,41.9,23.200000000000003,1798.5611510791366
OH,2018,22.700000000000003,10.2,19.599999999999994,24.4,11.6,20.700000000000003,10.9,6.9,8.5,24.5,2.9,-78.0,4.6,9.7,10.099999999999994,13.7,77.8,13.2,5.0,8.5,21.8,38.7,49.9,26.0,2288.329519450801
OH,2019,21.799999999999997,12.1,26.099999999999994,24.4,11.6,20.900000000000006,11.0,6.9,8.6,24.5,2.9,-81.0,4.6,9.7,10.099999999999994,12.9,78.4,11.8,4.6,8.9,21.8,38.7,55.15,26.0,2288.329519450801
OH,2020,22.099999999999994,10.15,32.599999999999994,24.4,11.6,20.150000000000006,10.4,6.9,8.5,24.5,2.9,-84.0,4.6,9.7,10.099999999999994,13.2,84.9,11.5,5.0,8.65,21.8,41.0,60.4,26.400000000000006,2173.913043478261
OH,2021,20.099999999999994,8.2,39.1,24.4,12.8,19.400000000000006,10.3,6.9,8.7,24.5,2.9,-84.0,4.7,9.7,10.099999999999994,13.5,95.7,9.4,5.4,8.4,21.8,41.0,62.8,26.200000000000003,2100.8403361344535
OH,2022,20.5,9.8,45.6,24.4,12.8,19.099999999999994,10.0,7.1,8.7,24.5,2.9,-84.0,4.7,9.7,10.099999999999994,13.7,95.2,7.8,3.7,7.0,21.8,41.0,60.5,24.700000000000003,2257.3363431151242
OH,2023,20.5,9.5,45.6,23.9,12.8,17.200000000000003,10.6,7.1,8.7,25.4,2.9,-84.0,4.7,9.7,10.099999999999994,13.6,95.2,6.5,4.0,7.9,21.8,42.4,60.5,24.700000000000003,2178.649237472767
OK,2018,23.5,14.9,20.900000000000006,27.0,14.6,24.799999999999997,11.4,7.0,8.3,29.6,13.5,-75.0,4.3,16.1,12.0,15.0,73.0,10.6,4.5,21.7,34.0,46.1,45.2,30.0,2770.083102493075
OK,2019,21.900000000000006,16.2,27.60000000000001,27.7,14.6,26.700000000000003,11.7,7.0,8.2,29.6,13.5,-77.0,4.3,16.1,12.0,14.8,68.8,9.7,4.4,21.6,34.0,46.1,49.25,29.299999999999997,2770.083102493075
OK,2020,24.099999999999994,15.25,34.30000000000001,27.7,14.6,24.599999999999994,11.4,6.5,8.4,29.6,13.5,-79.0,4.0,16.1,12.0,15.05,77.2,9.3,5.15,21.05,34.0,46.1,53.3,29.299999999999997,2762.430939226519
OK,2021,22.099999999999994,14.3,41.0,27.7,15.4,22.5,11.0,7.0,8.8,29.6,13.5,-82.0,4.5,16.1,12.0,15.3,86.6,7.7,5.9,20.5,34.0,47.3,50.3,29.799999999999997,2710.027100271003
OK,2022,22.5,14.7,47.7,27.7,15.4,20.799999999999997,13.7,7.0,8.5,29.6,13.5,-85.0,4.4,14.0,12.549999999999997,15.8,75.8,6.6,4.2,16.3,34.0,46.6,50.1,29.799999999999997,3021.1480362537764
OK,2023,21.400000000000006,13.3,47.7,27.7,15.4,22.0,10.3,7.0,8.6,27.3,13.5,-85.0,4.4,11.9,13.099999999999994,16.1,75.8,5.5,4.6,16.1,34.0,46.6,50.1,29.099999999999994,2923.9766081871344
OR,2018,19.799999999999997,12.6,20.799999999999997,17.0,9.2,15.599999999999994,16.4,4.5,6.7,16.6,0.1,-85.0,2.9,12.7,6.799999999999997,11.9,67.0,8.4,5.1,10.1,23.2,32.400000000000006,39.8,28.599999999999994,1490.312965722802
OR,2019,19.200000000000003,13.5,27.325000000000003,18.2,10.3,20.099999999999994,15.7,4.5,6.7,16.6,0.1,-86.0,3.0,12.7,6.799999999999997,11.4,72.2,7.5,5.0,9.3,23.2,32.400000000000006,42.05,28.599999999999994,1490.312965722802
OR,2020,23.299999999999997,10.95,33.849999999999994,18.2,11.2,18.150000000000006,15.6,4.5,6.5,16.6,0.1,-87.0,3.0,15.7,8.099999999999994,11.7,63.9,6.8,5.7,8.55,25.0,27.900000000000006,44.3,27.5,1424.5014245014245
OR,2021,22.400000000000006,8.4,40.375,18.2,11.2,16.200000000000003,11.4,4.1,6.9,16.6,0.1,-87.0,2.9,12.5,9.200000000000003,12.0,89.9,5.6,6.4,7.8,18.2,27.900000000000006,39.2,30.900000000000006,1398.6013986013986
OR,2022,22.200000000000003,9.1,46.9,18.2,11.2,14.200000000000003,15.6,4.6,7.1,16.6,0.1,-87.0,2.9,13.25,9.150000000000006,12.0,79.6,4.4,4.3,7.4,17.25,27.900000000000006,38.5,29.200000000000003,1451.3788098693758
OR,2023,21.200000000000003,10.2,46.9,18.2,12.8,14.900000000000006,14.6,4.6,7.2,18.5,0.1,-87.0,3.1,14.0,9.099999999999994,12.2,79.6,3.4,4.1,6.6,16.3,27.299999999999997,38.5,29.200000000000003,1412.4293785310736
PA,2018,24.0,9.4,22.099999999999994,23.1,9.9,18.900000000000006,12.3,5.9,8.3,17.5,0.4,-78.0,4.2,14.7,12.400000000000006,12.1,77.0,10.4,5.0,7.6,30.5,37.6,47.4,23.599999999999994,1912.0458891013386
PA,2019,23.099999999999994,10.0,27.89999999999999,23.1,9.9,20.599999999999994,11.9,5.8,8.4,17.7,0.4,-79.0,4.0,11.6,10.599999999999994,11.9,87.8,9.5,4.5,7.6,31.6,37.6,53.2,23.599999999999994,1912.0458891013386
PA,2020,25.700000000000003,8.35,33.69999999999999,23.1,10.1,19.849999999999994,12.1,5.8,8.3,17.7,0.4,-80.0,4.0,12.9,12.799999999999997,12.05,89.5,8.7,5.45,7.199999999999999,25.9,37.6,59.0,25.200000000000003,1855.287569573284
PA,2021,25.0,6.7,39.5,23.1,10.1,19.099999999999994,11.6,5.5,8.3,17.7,0.4,-81.0,3.8,11.6,9.299999999999997,12.2,108.3,7.3,6.4,6.8,26.0,34.900000000000006,60.4,24.900000000000006,1818.1818181818182
PA,2022,25.200000000000003,8.6,45.3,23.1,10.1,18.0,11.3,5.6,8.5,17.7,0.4,-82.0,3.8,12.4,10.599999999999994,12.5,104.5,6.0,4.3,6.8,22.4,35.099999999999994,60.1,21.200000000000003,2004.0080160320642
PA,2023,25.5,8.6,45.3,22.8,10.8,19.400000000000006,10.5,5.6,8.4,17.7,0.4,-82.0,3.8,10.7,8.799999999999997,12.5,104.5,5.1,4.2,7.2,20.1,35.099999999999994,60.1,21.200000000000003,1996.007984031936
RI,2018,22.099999999999994,10.5,17.0,26.0,8.2,17.5,13.3,5.4,7.6,19.7,0.0,-96.0,4.1,12.3,4.5,13.6,85.3,5.5,5.7,5.7,25.4,41.0,41.6,18.900000000000006,1564.9452269170579
