,precision,recall,f1-score,support
No ICU (0),0.9293758702596445,0.8838237298697252,0.9060276078212179,51353.0
ICU Admit (1),0.4976846004883388,0.631517094017094,0.5566699628007722,9360.0
accuracy,0.8449261278474133,0.8449261278474133,0.8449261278474133,0.8449261278474133
macro avg,0.7135302353739916,0.7576704119434097,0.731348785310995,60713.0
weighted avg,0.8628229032664236,0.8449261278474133,0.8521678486692837,60713.0
