,precision,recall,f1-score,support
No ICU (0),0.9607323124304902,0.6560473584795435,0.7796806294839158,51353.0
ICU Admit (1),0.3112766123372066,0.8528846153846154,0.4560932411586585,9360.0
accuracy,0.6863933589181889,0.6863933589181889,0.6863933589181889,0.6863933589181889
macro avg,0.6360044623838483,0.7544659869320794,0.6178869353212871,60713.0
weighted avg,0.8606070451422136,0.6863933589181889,0.7297938185089283,60713.0
