,precision,recall,f1-score,support
No ICU (0),0.947052300868601,0.7983175277004264,0.8663475660654473,51353.0
ICU Admit (1),0.40562410329985654,0.7551282051282051,0.5277580735486279,9360.0
accuracy,0.7916591174871939,0.7916591174871939,0.7916591174871939,0.7916591174871939
macro avg,0.6763382020842288,0.7767228664143158,0.6970528198070376,60713.0
weighted avg,0.8635814144152312,0.7916591174871939,0.8141479111322794,60713.0
