Cluster,Cluster Label,Maternity Care Desert,Unintended Pregnancy,Patients Per Doctor
0,Strong Health Ecosystem,1.9173913043478261,23.432608695652174,1773.0185897636331
1,Poor Family Planning,2.5200000000000005,37.8075,2396.775378884459
2,Poor Access to Care,12.323076923076922,28.83653846153846,2549.1808718569073
