Gender Pay Gap,Poverty,Unemployment,Uninsured Women,WIC Shortfall,Voter Abstainment,Inadequate Prenatal Care,No Cancer Screen,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,No Preventative,Patients Per Doctor,Unintended Pregnancy,Maternal Mortality,Postpartum Depression,Smoking During Pregnancy
0.261836361259848,-1.0970561842179753,1.8806489844488559,0.7946237748319581,-0.5281123806264639,0.3321469807825558,1.5814603481673282,-1.5039305213636684,0.32341613797264535,-0.4486112422121125,0.42620477796244405,0.4825182625848278,-2.369548330430422,-0.3049807846186805,0.07883353969868095,0.7346124715735791,0.946879217100014
-0.6521725443461692,-1.3307335964071791,0.9108981769609827,1.1260505759405925,-0.05577323105743571,0.3321469807825558,1.524015769607007,-0.900232570166643,0.32341613797264535,-0.35488171696567566,0.7003608062705665,0.4825182625848278,-2.369548330430422,0.001795513450236452,0.07883353969868095,-0.268542446792169,0.8194466717910596
-0.7483840080941725,-1.0191637134882403,1.3957735807049196,1.0155749755710477,0.4165659185115933,0.3321469807825558,2.0410169766499084,-0.2965346189696175,0.32341613797264535,-0.26115219171923876,1.9928106540088475,1.0052614121066332,-2.4551598245390767,-0.38757440332954257,0.07883353969868095,0.3487836568175223,0.6155545992967326
-0.8445954718421756,-0.707593830569302,1.8806489844488559,0.9050993752015029,-0.12844079252959323,0.15231849336671635,1.9261278195292646,0.307163332227408,0.32341613797264535,-0.26115219171923876,1.836150066404205,1.6275746853468795,-2.4775383867721343,-0.6274892005372854,0.07883353969868095,0.6188638271467618,0.3097164905552416
-0.4116438849761645,-1.0191637134882403,-0.05885263052689037,0.5957676941667773,-0.40699977817286687,0.3121660377363512,2.1750543266239943,0.9108612834244335,0.32341613797264535,-0.26115219171923876,1.6794894787995687,0.5571958553736576,-2.49153233793206,-0.8674039977450282,0.07883353969868095,0.8889439974760013,0.10582441806091447
-0.604066812472171,-0.8244325366639036,0.10277250405442194,0.6399579343145955,-0.40699977817286687,0.3121660377363512,1.9261278195292646,0.9108612834244335,0.32341613797264535,-0.26115219171923876,1.5228288911949248,0.5571958553736576,-2.51896154638431,-1.1073187949527705,-0.11777540870646266,1.1590241678052413,-0.12355416349520347
-1.1091769971491796,1.6291802913227373,0.021959936763766143,0.17596041276250707,0.1380069328683197,2.3302412854029813,0.7963844411762565,-1.7543533751935456,1.5735961671106022,2.17581546468812,0.504535071764766,-0.6376456292476156,2.6508307508604427,0.8631289657206562,1.8352068121179637,2.3936763750246235,1.8134205252009046
0.33399495907084875,1.4733953498632686,0.10277250405442194,0.4852920937972326,1.0524070813929776,2.3302412854029813,0.5474579340815267,-0.9292995085576112,1.5735961671106022,1.6134383132094987,0.504535071764766,-0.4385053818107366,2.6508307508604427,0.8631289657206562,1.8352068121179637,2.3936763750246235,1.456609398335832
-0.18314165857466275,1.4928684675457027,0.3856164895717186,0.41900673357550594,1.9668072299176347,2.3302412854029813,0.9878663697106644,-0.10424564192167682,1.5735961671106022,1.0510611617308774,0.7003608062705665,-0.36382778902190865,2.48496132563863,0.6625444631371342,1.8352068121179637,3.975574515524455,1.3291768530268775
-0.7002782762201708,1.5123415852281352,0.6684604750890146,0.3527213733537789,2.1363648733526714,2.190374684079551,0.9112735982969002,0.7208082247142589,1.5735961671106022,0.9573316364844405,1.170342569084488,-0.36382778902190865,2.4389639220056902,0.4973572257154092,1.8352068121179637,2.6251736638782566,0.7939601627292687
0.045360567826843265,1.823911468147074,-0.13966519781754616,0.2422457729842341,1.3854667381403694,2.3102603423567767,0.6431988983487307,1.5458620913501933,1.5735961671106022,0.8636021112380037,1.7186546257007314,-0.4385053818107366,2.6266580254206375,0.4973572257154092,1.8352068121179637,1.4869786603478894,0.3861760177406145
-0.2913795552911613,1.4733953498632686,-0.3821028996895143,0.26434089305814296,1.3854667381403694,2.3102603423567767,0.4708651626677631,1.5458620913501933,1.5735961671106022,0.8636021112380037,2.26696668231697,-0.06511741786658881,2.48496132563863,0.4973572257154092,1.4419889153076766,0.3487836568175223,0.003878381813751021
-0.7483840080941725,-0.006561594001689922,0.5876479077983588,0.9050993752015029,-0.007328190075996215,-1.086499975497948,1.102755526831308,-1.3787190944487306,-0.8731847470593991,0.67614306074513,1.9144803602065257,0.7314435718809263,0.6026145644381192,0.11978639732289674,0.7473039642761694,0.31020077534191615,-0.4548787812984853
-0.6521725443461692,-0.04550782936655711,0.34521020592639,0.9713847354232299,-0.08605138167083497,-1.086499975497948,1.3899784196329201,-0.6185068596080319,-0.8731847470593991,0.582413535498693,1.9144803602065257,0.7314435718809263,0.6026145644381192,0.11978639732289674,0.7473039642761694,0.31020077534191615,-0.5058517994220669
