Cluster,Cluster Label,Maternity Care Desert,Maternal Mortality,Patients Per Doctor
0,Low Risk,1.1557377049180328,18.024590163934427,1727.0671238340217
1,Moderate Risk,4.885714285714286,28.783035714285713,2343.872224085194
2,High Risk,16.400000000000002,30.564285714285717,2716.7456647617923
