year,PC1,PC2,PC3
1973,1.7604968757544925,-6.1910926842538885,3.8076963984519145
1974,2.7028396610666103,-4.947309952600062,2.678738741434877
1975,2.8669714439371585,-4.797677469245077,1.499962059284198
1976,3.164746819451728,-4.236533227203301,0.4742802158408565
1977,4.387118436029405,-2.626808295698523,0.7724447983124207
1978,4.327616201748055,-2.5398910257051903,-0.43085897685235997
1979,5.084820864216659,-1.8740694404316511,-0.16914898531920972
1980,5.495833055376013,-1.4544016531928685,0.038499756602703425
1981,5.2595199008762545,-1.2433679389671008,-0.5413414145719099
1982,4.9574730727688685,-1.1622283618191087,-0.6470484100073959
1983,4.3987146663775585,-1.3695221187900404,-1.4832540191021804
1984,4.160226475050342,-1.168666322475413,-1.8615471861619741
1985,4.449087142521657,-0.5870128805424659,-1.5211971160839193
1986,4.026335480513703,-0.6671112535206665,-1.8772539419461987
1987,3.9553393743769325,-0.07822085694468223,-1.642152249886018
1988,4.49945543263514,0.8321276526742444,-1.073842835503548
1989,4.911433621101304,1.735916689652944,-0.14123249252935435
1990,5.5984127725495885,3.3121384986816835,0.2006121782220313
1991,4.988208449008125,2.4468154932754267,-0.09851722858564776
1992,4.404198570355106,2.2090058018234653,-0.15051928591480518
1993,3.6549533558573977,1.6261069026679986,-0.474680672196769
1994,2.7585683913981116,0.954614153824985,-0.5168414043419151
1995,1.8122440848626282,0.33109887248582465,-0.6542827418205445
1996,1.4207968447330555,0.5432618546624253,-0.7921407221467109
1997,0.8446722364563374,0.4437815440417396,-0.8800011555738944
1998,0.6494372766334523,0.9113830445263027,-0.3567611525095094
1999,0.38076831152613877,1.3210927012553009,-0.2937945088337083
2000,0.3082153135353198,2.2485805171627757,0.22743471167780466
2001,-0.33446340416115605,2.1261656834043867,0.2311933050184792
2002,-0.8102524913730573,2.300309268288844,0.4395618455775902
2003,-1.1179216407831862,2.8524268621266304,0.791384786187098
2004,-1.4751028676720959,2.794263825641369,0.9849047221586246
2005,-1.672016958736494,2.89883167038464,1.1138476883350779
2006,-1.130771990279859,3.825085976562275,1.5657674074836114
2007,-1.3482502617646843,3.5917962071587093,1.9839058030219274
2008,-1.9526254199950452,3.102748798543652,1.3881896623033851
2009,-3.0797998953860843,1.8172176963317064,1.132353880901732
2010,-4.282334075750867,0.7922036098528564,0.5811485877063445
2011,-5.1647991978038785,0.3250781429188413,0.4640477510316107
2012,-5.822796046663993,-0.013632595805444445,0.5751399172733523
2013,-6.646039019395446,-0.6127397563292092,0.3383335859452734
2014,-7.1595267521608745,-0.3991061561880169,0.5262453377976027
2015,-7.7747735875865684,-0.5795957439232668,0.28495866344826104
2016,-8.541905741338162,-1.0689797000875694,0.045657232719518
2017,-9.231671220549973,-1.834610901277461,-0.5938384298803944
2018,-9.663875137377401,-1.862448603935037,-1.3881998819188142
2019,-9.803290012294768,-1.6651874600391516,-1.837888492357126
2020,-10.216288409643562,-2.36183706897383,-2.7199657326923887
